ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.0262771866109688e-05,26.102028629285087,space,26.090036165602214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,0,0,44,,,,,,,,,,480.28001780590967,480.7817797955531,480.8050041275592,481.01183265524196,481.0118470872658,0.8217965698248082,481.8344602070647,481.83447239410634,668.2174742292173,668.2174742292173,484.8482783879499,None,0,484.8487966579287,671.2148966699224,485.3392635050059,485.33927376777774,485.3398539351001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,freq_top,0,1,1,21,,,,,,,,,,,,485.34042127395696,485.58170000250175,485.5817121895434,0.8264491252973092,486.4138991926411,486.41391137968276,672.7968622216458,672.7968622216458,489.4276622111274,None,1,489.4281352607677,,489.4288863673828,489.4288959887317,489.4295370912614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
90,0,0,12,0,12,180,180,180,0,j,present,resp,freq_top,0,2,2,32,,,,,,,,,,,,489.4300457398913,490.34434710490405,490.34436955471756,1.0292410273218067,491.37656643573337,491.37657926419797,677.7592565391496,677.7592565391496,493.7414634584393,f,0,493.7420939774847,680.1072491730447,494.2482413778289,494.2482513198893,494.24921986898335,2.3266600856868536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,freq_top,0,3,3,25,,,,,,,,,,,,494.24975096742673,494.25056012284585,494.25057006490624,0.8919881660954215,495.1482527951621,495.1482653029161,681.5310124930002,681.5310124930002,496.7975944062764,j,0,496.7981171662177,683.1546137894447,497.2962656980326,497.2962746779576,497.2966341956844,1.6106521499978044,None,683.6541814701804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,freq_top,0,4,4,29,,,,,,,,,,,,497.29716753910907,497.297955848273,497.29796611104484,0.7647126337806749,498.0623004772833,498.06231266432496,684.4451650478213,684.4451650478213,501.0760086540831,None,1,501.07637875529326,,501.0771272962156,501.0771388418334,501.0782558804085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,freq_top,0,5,5,5,,,,,,,,,,,,501.078767736155,501.8426752352261,501.8426883844031,0.9942926788211801,502.84171149680606,502.8417236838477,689.2243829989484,689.2243829989484,504.8906107183111,f,0,504.89110878345764,691.2559782249637,505.3969778061146,505.39698999315624,505.39840978350094,2.0134085380932447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,6,6,47,,,,,,,,,,,,505.39893735411624,505.39981289684056,505.39982283890095,0.8762375687648409,506.2803574395157,506.2803699472688,692.6630905182892,692.6630905182892,509.29392065466254,None,0,509.2943167335143,695.6521866438998,509.7848820390591,509.7848919811195,509.7858416082281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,freq_top,0,7,7,30,,,,,,,,,,,,509.78635602966733,509.9362297013604,509.93624188840204,0.7493472072288443,510.6846320764216,510.68464458417566,697.0676367979377,697.0676367979377,513.6984496158839,None,1,513.6988505054096,,513.6995547881288,513.6995647301892,513.7003049326095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,168,0,180,0,180,180,180,168,180,f,abs,resp,freq_top,0,8,8,12,,,,,,,,,,,,513.7007943385424,513.924255933005,513.9242687614696,1.0081295856261725,514.9316383937994,514.931650580841,701.3139869393399,701.3139869393399,517.2304473349832,j,0,517.2309816405432,703.595351092632,517.7363599744203,517.7363702371922,517.7372153123124,2.2582628804957494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
168,0,270,180,180,180,180,168,180,180,f,present,resp,freq_top,0,9,9,49,,,,,,,,,,,,517.7377592392213,519.6270976945325,519.6271134094022,0.8494900108117323,520.4770716848207,520.4770841925738,706.8592130506531,706.8592130506531,522.492496310213,f,1,522.4930190701543,,522.4937583104402,522.4937672903652,522.4943830566772,1.9769891678806744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,freq_top,0,10,10,19,,,,,,,,,,,,522.4948772732841,522.7332170005384,522.733229829003,1.00981532955316,523.7483517026267,523.7483642103798,710.2229747542224,710.2229747542224,526.7538624904028,None,0,526.7551761252007,713.1121701721513,527.2531649426282,527.2531748846886,527.2541248325088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,270,180,12,180,180,180,180,12,180,j,present,resp,freq_top,0,11,11,35,,,,,,,,,,,,527.2546424610646,527.4207768533443,527.4207890403859,0.9233295149359871,528.3446235583215,528.3446357453631,714.7274406635388,714.7274406635388,529.7025839093849,j,1,529.7030922373042,,529.7038192905475,529.7038285911849,529.7044639209053,1.3082929311749467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,freq_top,0,12,12,3,,,,,,,,,,,,529.7049812287496,529.7355495361553,529.7355607610616,1.066844949082151,530.8093388658226,530.8093504114413,717.1919863145931,717.1919863145931,531.8420087964787,j,1,531.8425398949221,,531.8425761353355,531.8425873602419,531.8431585476383,0.987898494367073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,freq_top,0,13,13,13,,,,,,,,,,,,531.843668479115,532.3247529077325,532.3247657361972,0.8823079699452685,533.206775610266,533.2067874765962,719.589921765607,719.589921765607,535.2236466450686,f,1,535.2241847991672,,535.2242203981577,535.2242287366598,535.2247117283605,1.9818681537644807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,14,14,31,,,,,,,,,,,,535.2251908715216,535.5887989542243,535.5888117826889,0.8582415612119566,536.4462365453464,536.4462487323881,722.828802533365,722.828802533365,538.9109810376049,j,0,538.9114726885191,725.2683660320208,539.4105134400625,539.410522740699,539.4108950868904,2.422237280011359,None,725.7679369198722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,freq_top,0,15,15,18,,,,,,,,,,,,539.4114467108784,539.7770682211349,539.777080728888,0.98112423772219,540.7589640501519,540.758976557905,727.1417571019983,727.1417571019983,543.4243393180259,j,0,543.4248290446712,729.7811486350829,543.9231760969788,543.9231860390382,543.9236472223492,2.621618883865267,None,730.2807224093394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,16,16,9,,,,,,,,,,,,543.9241545881332,544.6896518547073,544.6896643624605,0.8074819372658304,545.4962332420164,545.496246070481,731.8793380255574,731.8793380255574,547.3957020152884,j,1,547.39620906036,,547.3969707504593,547.3969797303844,547.3975307129485,1.8518532663310907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,freq_top,0,17,17,28,,,,,,,,,,,,547.3980550764481,548.2614296810907,548.2614434716907,1.0632155574492108,549.3267817294445,549.3267939164862,735.7093817128944,735.7093817128944,552.3402458446999,None,1,552.3413118901271,,552.341349092675,552.3413580726001,552.3418192559111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,168,180,90,0,180,0,168,0,0,f,present,resp,freq_top,0,18,18,48,,,,,,,,,,,,552.3423125103836,552.5914817069306,552.5914945353952,0.7146612476218355,553.3061400881188,553.3061525958719,739.6892888091525,739.6892888091525,555.4218910055142,f,1,555.4223756007732,,555.4224108790513,555.4224192175534,555.4228768730363,2.073015679186028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,12,180,12,180,90,180,180,0,180,j,present,resp,freq_top,0,19,19,37,,,,,,,,,,,,555.4233457534256,555.6971911434848,555.6972036512379,0.7513758752071076,556.4534503118284,556.453463140293,742.8365807522996,742.8365807522996,558.9862049103522,j,1,558.9867533272227,,558.9867892469247,558.9867979061382,558.9871471610932,2.4940574403290157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,freq_top,0,20,20,24,,,,,,,,,,,,558.9876574132813,559.7016573735136,559.7016705226897,1.0107138552724406,560.7165816887782,560.7165938758199,747.0995902588329,747.0995902588329,563.7303729298874,None,1,563.7307593873902,,563.7307953070913,563.7308042870163,563.7319081764144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,freq_top,0,21,21,27,,,,,,,,,,,,563.7323866781526,563.7332638244352,563.7332737664956,0.9844467426323713,564.721342652786,564.7213551605391,751.1044634719083,751.1044634719083,567.7352964946867,None,1,567.7356948185188,,567.7357304175093,567.7357393974344,567.737133530849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,0,180,0,12,0,12,180,180,180,j,abs,resp,freq_top,0,22,22,7,,,,,,,,,,,,567.7376428209027,568.2603761434175,568.260389613306,0.8424479934732437,569.1096942784407,569.1097148039844,755.4923824575872,755.4923824575872,572.123171542873,None,0,572.1235461340466,758.4814570955195,572.6141287580185,572.6141387000789,572.6147009075503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
12,0,0,12,0,0,90,180,180,0,j,present,resp,freq_top,0,23,23,38,,,,,,,,,,,,572.615228798878,572.6161020966201,572.6161126801044,0.7642661506137141,573.3809835968841,573.3809961046372,759.7636772281276,759.7636772281276,575.663802818799,j,1,575.6643201266434,,575.6650686675657,575.6650779682022,575.6656420999434,2.2383091655974567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,freq_top,0,24,24,8,,,,,,,,,,,,575.6661218845275,575.9130313469959,575.9130441754605,0.7828833442738565,576.6950497519938,576.6950619390354,763.0775057359269,763.0775057359269,578.4444909119948,j,1,578.4450197654578,,578.4450560058704,578.4450643443724,578.4455184720273,1.7079079489458309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
180,270,0,0,0,0,0,168,0,168,f,present,resp,freq_top,0,25,25,43,,,,,,,,,,,,578.4460258378112,579.5262162507152,579.5262293998912,1.0181583354995207,580.549583940815,580.5495964485681,766.9325081637135,766.9325081637135,582.8154763241064,f,1,582.8159647679049,,582.8160010083175,582.8160093468196,582.816476302939,2.220477278779981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,26,26,6,,,,,,,,,,,,582.8169416555011,583.0391906393261,583.0392034677907,0.9408684174927935,583.9802319771297,583.9802441641714,770.3628893679606,770.3628893679606,585.8470885478373,j,1,585.8475795573286,,585.8476148356067,585.8476228533973,585.8480930166334,1.8298463556375282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,0,0,-168,0,0,0,12,0,0,None,abs,inhibit,freq_top,0,27,27,23,,,,,,,,,,,,585.8485683112549,586.3369514949336,586.3369649648212,0.9236192503923593,587.2608360438817,587.2608485516348,773.6433985040721,773.6433985040721,590.2741984935537,None,1,590.2746606389992,,590.2746972001241,590.2747061800492,590.2761355917419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
0,270,0,0,12,0,180,180,180,12,j,present,resp,freq_top,0,28,28,42,,,,,,,,,,,,590.2766445610841,590.5674642550866,590.5674857427648,0.7111625144948229,591.2818025660781,591.2818237330448,777.6649480799952,777.6649480799952,594.2957705192903,None,0,594.2965187395012,780.6540323392765,594.7867338279566,594.7867434493055,594.7878075704621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2,35,f,2024-02-06_14h57.08.086,eye_track_exp,2023.1.3,120.09004637110216,
