ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.0262804607918952e-05,8.495488214452052,space,8.484138440951938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,0,0,44,,,,,,,,,,67.94187019091441,68.44293944688616,68.46562762182566,68.80210105270726,68.80211516406416,0.9748699161227021,69.7762336532769,69.77624648178244,364.5845815469647,364.5845815469647,72.78965900548337,None,0,72.79019780273393,367.58201103508145,73.28061811590305,73.28063800008749,73.28131919375392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,1,1,9,,,,,,,,,,,,73.28184708677509,73.28261423143158,73.28262449423619,0.7493110234662755,74.03042440546324,74.03043787539445,368.83927774228596,368.83927774228596,77.04431575314902,None,0,77.04500753033335,371.8283712672255,77.53531302837382,77.53532393260411,77.53638324648455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,freq_top,0,2,2,2,,,,,,,,,,,,77.536939682931,77.71940561683368,77.7194187660516,0.7108900085641188,78.43550661052905,78.43551975974788,373.24381281157275,373.24381281157275,81.44054436482202,None,0,81.44091831577134,376.2245928232214,81.9398557947643,81.93986573685652,81.9409834204389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,freq_top,0,3,3,21,,,,,,,,,,,,81.9415135584477,82.89062896881933,82.89064275946293,0.728574303303458,83.62272518517966,83.62273833439849,378.43102817909676,378.43102817909676,85.05607307886748,j,0,85.0567298983724,379.8381517201751,85.5543758675276,85.55438548890743,85.55476777838521,1.3951477364871607,None,380.33771972023624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,4,4,6,,,,,,,,,,,,85.55531010347477,85.84612303306949,85.84614420010439,1.0275553219190323,86.87818339375553,86.87819654297437,381.68657394222555,381.68657394222555,89.0271807177296,j,1,89.02770219649665,,89.02848762177473,89.02849724315456,89.02908992012999,2.1068937731197366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,freq_top,0,5,5,4,,,,,,,,,,,,89.0297646995441,89.23500315581259,89.23501598431903,1.069837621638286,90.30858971102498,90.30860286024381,385.1169552439087,385.1169552439087,91.19148373217195,j,1,91.19200200381238,,91.19204145146887,91.19204978999733,91.19266363400766,0.8367263996024121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,freq_top,0,6,6,16,,,,,,,,,,,,91.1931745292577,91.39121875938145,91.39123158788698,0.8762682283243511,92.27348193874695,92.27349540867817,387.0819286119304,387.0819286119304,94.07275238161219,f,1,94.07330753520819,,94.07334666215138,94.07335500067984,94.07370169105343,1.7514873917079967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,0,7,7,10,,,,,,,,,,,,94.0742010406484,94.27174688331434,94.27175939110839,1.0809121453857908,95.35369762441769,95.35371109434891,390.1626192730346,390.1626192730346,97.02040694586685,f,1,97.02095825091055,,97.02099769856613,97.02100635780789,97.02152174303501,1.6305838543748905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,freq_top,0,8,8,27,,,,,,,,,,,,97.02204386322774,97.20342642980177,97.2034392583073,0.8065601983927198,98.00989494736496,98.00990809658379,392.81867804811736,392.81867804811736,99.45985158701478,f,0,99.46036152012675,394.25078446314,99.9660432654191,99.9660541696494,99.96706056594212,1.406241828446582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA,001,2,25,F,2024-02-12_13h39.16.268,eye_track_exp,2023.1.3,120.10400095497161,
