ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,search_displays_2.stopped,response.keys,response.corr,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,response.rt,response.duration,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,9.9421845334291e-06,17.28126921287094,space,17.266780233090913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,freq_top,0,0,0,19,,,,,,,,,,106.5462255458342,107.04742005120579,107.09480610655419,107.09805944592517,107.0980786888631,0.7297689996542635,107.82962976266754,107.82964259129267,849.1002335771946,849.1002335771946,109.77867029374693,f,1,1.908566529360769,None,109.77942654120716,109.7794707999642,109.77947945928645,109.77996919205634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
180,270,0,0,168,0,0,168,180,0,f,present,resp,freq_top,0,1,1,45,,,,,,,,,,,,109.7804525105139,109.98591096228483,109.98592443234156,1.067321185036075,111.05950942695517,111.05953027347095,852.3308034215224,852.3308034215224,114.07355773378504,None,0,,,114.07393810252461,114.56450986473192,114.5645204483476,114.56553102330417,855.3282665608731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,freq_top,0,2,2,25,,,,,,,,,,,,114.56605763837206,114.56682446944842,114.5668350530641,1.0987873230934038,115.66422324117138,115.66423639051254,856.9352478346082,856.9352478346082,117.89623021224634,f,0,2.1847844710271147,None,117.89672732147619,118.39629611930877,118.3963060614933,118.3967470454877,859.1416998634072,859.6412712269648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
180,0,90,180,12,0,180,180,12,180,j,present,resp,freq_top,0,3,3,41,,,,,,,,,,,,118.39727815057404,118.39805011310045,118.39806005528499,0.8298672702500871,119.2282956497811,119.22830815769066,860.4988853528207,860.4988853528207,120.76066243172363,j,1,1.485436453835291,None,120.76118199104758,120.76189750762296,120.76191610912929,120.76250654660817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,0,4,4,10,,,,,,,,,,,,120.76300525941588,120.83581123575914,120.83582278152198,1.0655143575702046,121.90071542036048,121.90072824898562,863.1716165382786,863.1716165382786,123.43326982094777,f,1,1.484456346863908,None,123.43375442226761,123.43379354957506,123.43380188818128,123.4343458218932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,freq_top,0,5,5,2,,,,,,,,,,,,123.43481727387234,123.6915530237552,123.69156553166476,1.0037374255357834,124.698027310219,124.69804013884414,865.9692430501723,865.9692430501723,125.68233084575604,j,1,0.9430113882410751,None,125.68286355442069,125.682904285306,125.68291262391267,125.68335521148492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,6,6,31,,,,,,,,,,,,125.68383981280476,125.90574424147098,125.90575707009612,0.907771785335631,126.81331143059379,126.81332393850334,868.0841278795851,868.0841278795851,129.8268937376106,None,1,,,129.82728148280967,129.8273218929794,129.82733087301676,129.82847037565762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
180,270,180,12,180,0,12,180,0,180,j,present,resp,freq_top,0,7,7,33,,,,,,,,,,,,129.82896427773085,129.82990621954195,129.82991584101092,1.0873613671688376,130.91788525243692,130.9178980810625,872.1889746304314,872.1889746304314,132.2345473595965,j,1,1.2824616239192892,None,132.23505376957928,132.235094179749,132.23510283907126,132.2355678767376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,8,8,6,,,,,,,,,,,,132.23604862947013,132.53333919173883,132.53335266179556,0.7569999022229218,133.29129542495957,133.2913082535847,874.5619521575663,874.5619521575663,135.30669875533476,j,1,1.9812958546679056,None,135.30726129055347,135.30730138000763,135.30731003932942,135.3077840570336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2,26,M,2024-02-09_10h36.30.013,eye_track_exp,2023.1.3,120.12740792155184,
