ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,text_feedback.started,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.0262901923852041e-05,63.51847979507875,space,63.500288245712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,0,0,31,,,,,,,,,,154.80411555127648,155.30495213800532,155.32600230851313,155.79889879080656,155.7989122608633,0.8053461208061157,156.60661758220886,156.6066307315523,202.6133173317612,202.6133173317612,159.62010463668412,None,1,159.62074510579987,159.62079577887198,159.62080572105697,159.62164246814064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,freq_top,0,1,1,19,,,,,,,,,,,,159.62215689601362,160.1957006786688,160.19571446943883,0.8269113178796532,161.02743401516636,161.02744716450616,207.03456480652676,207.03456480652676,163.37682932187818,j,0,163.37748614749216,163.88289100768088,163.8829015912961,163.88378420071604,2.304902830514038,None,209.3658977295563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,0,2,2,10,,,,,,,,,,,,163.88430151503053,163.88509368264204,163.88510394554032,0.9451411135881445,164.83319483763626,164.8332076662591,210.8396697655262,210.8396697655262,167.84643878966017,None,0,167.84682364841865,168.3374130499833,168.33742331288522,168.33816641100566,,,213.82879012914054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,3,3,9,,,,,,,,,,,,168.33870072324862,168.339770630595,168.33978121421023,0.9960782521476295,169.33777289292266,169.3377860422661,215.34418143267976,215.34418143267976,172.35095430539877,None,0,172.35134782348177,172.84192279284616,172.8419327350275,172.84290354124823,,,218.33330051343364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,freq_top,0,4,4,17,,,,,,,,,,,,172.84341957269862,172.84432431149617,172.8443345743981,1.038391993348525,173.88312448866054,173.88313667585317,219.89031493312723,219.89031493312723,176.89706150716665,None,0,176.89745342166862,177.388062066173,177.3880732912221,177.38927661627167,,,222.87945902970023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
180,270,0,0,0,0,0,168,0,168,f,present,resp,freq_top,0,5,5,43,,,,,,,,,,,,177.38980643849573,177.39065954207763,177.39066948426262,1.0013885385577261,178.3959542364464,178.39596674435597,224.40315334023762,224.40315334023762,181.4099015178508,None,0,181.4102892630508,181.900883154638,181.90089341753628,181.90136551094838,,,227.39229583322958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
180,270,0,0,168,0,0,168,180,0,f,present,resp,freq_top,0,6,6,45,,,,,,,,,,,,181.90187705237986,182.08515545247064,182.0851679603802,0.834244500958286,182.9258794102825,182.925892238909,228.93263817151092,228.93263817151092,185.93939019771278,None,0,185.93980071372062,186.43038754956433,186.4303984538965,186.43119286651563,,,231.92178066450288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,freq_top,0,7,7,13,,,,,,,,,,,,186.43171948158488,186.4979963290898,186.49800819556913,0.9840926638055285,187.48883893564926,187.48885144355881,233.4954459983819,233.4954459983819,190.50219866601765,None,0,190.50260180556506,190.99316971918597,190.9931803028012,190.99380184969777,,,236.48457470060384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
180,270,180,12,180,180,180,180,12,180,j,present,resp,freq_top,0,8,8,35,,,,,,,,,,,,190.994332634069,191.69337372640075,191.69338719645748,0.7957193881255816,192.49270772831733,192.49272055694382,238.49952133191982,238.49952133191982,194.1260232833156,f,0,194.12661853152895,194.62434642163134,194.62435540166916,194.6247162067557,1.5916229262656998,None,240.10650388851718,240.60606691346766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di,001,1,23,f,2024-02-09_16h20.31.132,eye_track_exp,2023.1.3,120.10242128822651,
