ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.0904230066444143e-05,214.41230593677597,space,214.39920499514307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
180,0,180,0,12,0,12,180,180,180,j,abs,resp,freq_top,0,0,0,7,,,,,,,,,,324.2732478185126,324.7750482993249,324.90579803569915,325.16846875104227,325.1684835038242,0.7760703346167592,325.95004740132947,325.9500605505482,476.82085504557966,476.82085504557966,328.84858482336426,j,1,2.854701625094606,None,328.8493500437452,328.8493933399528,328.8494026406197,328.8499536249509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
180,180,90,180,12,180,12,0,0,180,j,present,resp,freq_top,0,1,1,39,,,,,,,,,,,,328.85042988323494,329.122343537127,329.12235604492025,0.8816870636600659,330.0046490505623,330.0046609169302,480.8757087749547,480.8757087749547,332.7364550219752,j,1,2.68807408537117,None,332.7370457746749,332.7370845809055,332.73709356085965,332.7375630841781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
0,180,0,0,180,0,180,168,0,168,f,abs,resp,freq_top,0,2,2,14,,,,,,,,,,,,332.7380502466922,333.02744851279124,333.02746198272257,0.8383408105828549,333.86790006337276,333.86791289187875,484.73906049153703,484.73906049153703,336.5168140020577,f,1,2.600531077804874,None,336.5174044340448,336.5174432402754,336.51745222022953,336.51797081258326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,freq_top,0,3,3,8,,,,,,,,,,,,336.5184781799942,336.92390707543416,336.92392022465276,0.9421385330986948,337.8728685437336,337.8728816929522,488.7440078048631,488.7440078048631,339.52247105247625,j,1,1.6028350774764135,None,339.52297457133545,339.5230130568533,339.52302203680756,339.52393702999564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
12,0,0,12,0,0,90,180,180,0,j,present,resp,freq_top,0,4,4,38,,,,,,,,,,,,339.5244318896132,339.53063318939746,339.5306437729149,1.0373558776084217,340.57066422155344,340.5706764086341,491.44166974550814,491.44166974550814,342.76993261185817,j,1,2.1529393732300264,None,342.7704460728095,342.7704845583273,342.77049353828147,342.77086909279365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,freq_top,0,5,5,0,,,,,,,,,,,,342.7713713288023,344.2847970017216,344.2848101509402,0.979726595470275,345.26661099095077,345.266623498744,496.1376142699169,496.1376142699169,346.5327787570204,j,1,1.217281065617783,None,346.53329061440843,346.5333297413516,346.53333872130577,346.53381273460127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,freq_top,0,6,6,30,,,,,,,,,,,,346.5342957278509,347.3485691084445,347.3485822576631,0.8528113253078148,348.20521728923404,348.2052294763147,499.0767792496351,499.0767792496351,351.21915481954136,None,1,,,351.2195768773877,351.21961568361826,351.219624984285,351.2201791757428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,7,7,6,,,,,,,,,,,,351.220664413981,351.4951758403313,351.4951886688373,0.9164545495640224,352.41050738023944,352.41052085017077,503.281491095734,503.281491095734,353.91047178113536,j,1,1.4650389634875296,None,353.91099967415596,353.9110397632371,353.91104874319126,353.91151409724523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,freq_top,0,8,8,5,,,,,,,,,,,,353.9120105604261,358.9719556031065,358.9719690730378,1.078720290408232,360.05369499457356,360.0537071816542,510.924942977291,510.924942977291,361.0375570547802,j,1,0.9412032786889881,None,361.0380974555941,361.03813754467524,361.03814620391677,361.0386651169831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIW,001,2,28,F,2024-02-15_16h49.45.708,eye_track_exp,2023.1.3,120.098912273206,
