ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,text_feedback_2.started,feedback_6.stopped,pause_4.started,pause_4.stopped,text_feedback_2.stopped,int14_3.stopped,per15_3.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,freq_top,0,9,9,17,,,,,,,,,,,,154.5928411805304,154.70888752479107,154.70890035329705,0.952994272791938,155.66637738385714,155.66638925022517,279.4277591550633,279.4277591550633,157.7154201207419,f,1,157.71595891799245,,157.7166933499591,157.71670265062585,157.71730110042927,2.0117545478644843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,270,0,0,0,0,0,168,0,168,f,present,resp,freq_top,0,10,10,43,,,,,,,,,,,,157.71781680636911,158.031539523344,158.03155203113738,0.7443024077144682,158.78010176853786,158.78011459704373,282.5417885374734,282.5417885374734,160.49609371993313,f,1,160.49662033010316,,160.49665817419566,160.49666651272457,160.49712064183575,1.666350231841875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,freq_top,0,11,11,8,,,,,,,,,,,,160.49762416069495,160.72892565111079,160.72893847961677,0.9399317056149329,161.66885296479597,161.66886515187662,285.43094768022127,285.43094768022127,162.73639857654894,j,1,162.73694186377668,,162.73697938715657,162.73698772568548,162.7374787367513,1.0319960060037374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,freq_top,0,12,12,18,,,,,,,,,,,,162.7379902734267,163.343337964424,163.3433511136426,0.9324512996205196,164.27515317236123,164.27517498082136,288.03705898803616,288.03705898803616,165.65854397740134,f,1,165.6590664183068,,165.65910330026145,165.65911195950298,165.65956384362562,1.3381348309638952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,freq_top,0,13,13,11,,,,,,,,,,,,165.66007249388724,166.1990753212899,166.1990884705085,0.9879342158364534,167.1897756166021,167.18980704644173,290.95121736107376,290.95121736107376,168.7730573151989,f,1,168.77368591199127,,168.77373177390018,168.77374941309586,168.7742571012194,1.5437084319511314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,freq_top,0,14,14,29,,,,,,,,,,,,168.77478531495262,169.1717024966838,169.1717172494657,1.0107899281289485,170.18721472609855,170.1872269131792,293.9486664126623,293.9486664126623,173.20055476874052,None,1,173.20174525409425,,173.2017853431754,173.20179496455478,173.2023430624722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,15,15,6,,,,,,,,,,,,173.2028427327797,173.2036194988159,173.2036291201954,0.8517179430802078,174.05861665088764,174.05863781792243,297.8203281146971,297.8203281146971,175.68354352840356,j,1,175.6841147176317,,175.68415320314966,175.6841618623912,175.68486839235732,1.5866550628006735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,16,16,9,,,,,,,,,,,,175.68537415620506,175.89087238971968,175.890885859651,0.9065001532111078,176.79808124036254,176.7980937481559,300.55966473982505,300.55966473982505,178.6807437069764,j,1,178.68124786726082,,178.68128442850286,178.68129276703178,178.68178570237353,1.8391540557629469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,freq_top,0,17,17,13,,,,,,,,,,,,178.68228793838216,179.22121636045017,179.22122886824354,0.7695782111669581,179.9952380585852,179.99525088709117,303.75689724623294,303.75689724623294,181.9615462326526,f,1,181.96206354215576,,181.96211357332902,181.96212223257055,181.96260105655574,1.921745260026114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,270,180,12,180,0,12,180,0,180,j,present,resp,freq_top,0,18,18,33,,,,,,,,,,,,181.9631119518059,182.16903128102888,182.1690444302476,1.0651981567894835,183.2339101671041,183.23392267489737,306.995805078549,306.995805078549,185.78292147414925,j,1,185.78344904645712,,185.78348753197508,185.78349587050388,185.78397277021327,2.506045221284012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,0,0,-168,0,0,0,12,0,0,None,abs,inhibit,freq_top,0,19,19,23,,,,,,,,,,,,185.78447789263566,186.08191963197578,186.08193246048177,0.8578993836577262,186.93920378594862,186.93921597302938,310.70094571745983,310.70094571745983,189.95283375282543,None,1,189.95323785076346,,189.9532760155687,189.95328499552284,189.95381096426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
90,0,0,12,0,0,0,12,0,0,j,present,resp,freq_top,0,20,20,34,,,,,,,,,,,,189.95431608668991,190.403638036007,190.4036511852256,0.8921118355611554,191.30214466962752,191.30215717742078,315.0638792247478,315.0638792247478,192.7688935028749,j,1,192.76942845157362,,192.769465654241,192.7694739927698,192.76984954728198,1.4300356820069737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,freq_top,0,21,21,20,,,,,,,,,,,,192.77035050044003,193.10950573049365,193.1095182382869,1.0513846386901782,194.1666644216781,194.16668687156357,317.9280878855287,317.9280878855287,195.64985939957455,f,1,195.65045752866524,,195.6505056355627,195.65051461551684,195.65095751968533,1.4455620227781765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
90,0,0,12,0,12,180,180,180,0,j,present,resp,freq_top,0,22,22,32,,,,,,,,,,,,195.65144821003855,195.87339836103,195.87341247238658,1.0374707069674467,196.9143697226733,196.91438287189192,320.6757300061321,320.6757300061321,198.31394561226614,j,1,198.3144763917005,,198.31451327365505,198.31452129147135,198.31486798184505,1.3540870781333751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,270,0,0,12,0,0,12,0,0,j,present,resp,freq_top,0,23,23,40,,,,,,,,,,,,198.31543339824555,198.68821246315008,198.68822625379403,0.8753211439846998,199.57017224834965,199.5701847561429,323.3317891019276,323.3317891019276,200.88645040371307,j,1,200.8869590539747,,200.88699593592935,200.88700427445815,200.88744717862664,1.273832586231947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,270,0,0,168,0,0,168,180,0,f,present,resp,freq_top,0,24,24,45,,,,,,,,,,,,200.88795358389973,201.10325311668555,201.1032656244788,0.7419181036725552,201.8433382851366,201.84335913145878,325.6048329471953,325.6048329471953,203.22647476504585,f,1,203.2271030411256,,203.2271405645056,203.22714922374712,203.2275084219142,1.3359828490879408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,270,0,0,12,0,180,180,180,12,j,present,resp,freq_top,0,25,25,42,,,,,,,,,,,,203.22802605212985,203.83351325312947,203.83352608163545,0.9841771852860504,204.82393196273574,204.823944470529,328.585606223878,328.585606223878,206.72369290352708,j,1,206.72420893017954,,206.72424677427216,206.7242554335137,206.72470892119964,1.8594365651213138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,26,26,31,,,,,,,,,,,,206.7252217407256,207.2221259015232,207.2221387300292,0.9503472861609513,208.17941852231002,208.1794445000346,331.9410648814518,331.9410648814518,211.19296606603598,None,1,211.19335733546802,,211.19339582098587,211.19340512165275,211.1942380124026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,freq_top,0,27,27,28,,,,,,,,,,,,211.1947511526413,211.19546794541213,211.1954772460789,1.0745042839322614,212.267399623355,212.26741213114838,336.02923007155744,336.02923007155744,215.2811521024638,None,1,215.28153471265432,,215.28157351888478,215.28158249883904,215.28239326041614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,0,180,0,0,0,168,0,180,168,f,abs,resp,freq_top,0,28,28,15,,,,,,,,,,,,215.28293013339078,215.6232803387752,215.62329252585585,1.0910024590291894,216.71413278016814,216.71414560867413,340.4754173754417,340.4754173754417,218.31394465012818,f,1,218.31444560328612,,218.3144828059534,218.3144911444823,218.31483975913193,1.5526216778966955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,freq_top,0,29,29,5,,,,,,,,,,,,218.31533814658872,218.51306326762574,218.513075775419,0.7255224511676728,219.24491574237277,219.24492857087876,343.00658839995174,343.00658839995174,220.54463037225753,j,1,220.54513100470297,,220.54516692451966,220.54517526304846,220.54585485315204,1.2621602493657065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,0,180,0,12,0,12,180,180,180,j,abs,resp,freq_top,0,30,30,7,,,,,,,,,,,,220.54634169495353,221.2771945083731,221.27720861972966,0.8205059917024261,222.10104917936042,222.1010616871538,345.8624636632569,345.8624636632569,223.7166231138889,j,1,223.7171317641505,,223.71716896681778,223.7171776260593,244.2576797850968,1.5735196348289264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,31,31,47,,,,,,,,,,,,244.25825097432505,244.4989294611771,244.49894196897037,0.7987188231647528,245.29741768589145,245.29743051439743,369.0592455683926,369.0592455683926,247.51309918744244,f,1,247.5136184212214,,247.51365562388867,247.51366396241758,247.5142213610019,2.1676969042556493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,freq_top,0,32,32,4,,,,,,,,,,,,247.51472423843575,247.7455895596487,247.74560174672933,0.9231876492674931,248.66951780211775,248.66952966848578,372.4313524195845,372.4313524195845,249.75327158973414,j,1,249.75381648052507,,249.75386234243388,249.75387196381337,249.75434597710876,1.0357893952179893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,freq_top,0,33,33,16,,,,,,,,,,,,249.75484276100235,250.00212279702475,250.00213530481813,0.7935123128207854,250.8015510305139,250.80156353830716,374.5628462093048,374.5628462093048,251.77584398740748,f,1,251.77636610760032,,251.77640234812975,251.77641068665855,251.7770899560495,0.9355352625148043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,freq_top,0,34,34,26,,,,,,,,,,,,251.77757423214973,251.99234074051265,251.9923529275933,1.0328900471143208,253.0239299743173,253.02394216139794,376.78594258730436,376.78594258730436,256.03785852467047,None,1,256.03825203909105,,256.0382902038963,256.0382991838504,256.039845339532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
12,0,0,12,0,0,90,180,180,0,j,present,resp,freq_top,0,35,35,38,,,,,,,,,,,,256.040340840575,256.0411788627273,256.0411884841068,0.8578179214605953,256.8957764068381,256.8957885939187,380.6576260977994,380.6576260977994,258.5126184391813,j,1,258.5131476150524,,258.51318642128297,258.5131950805245,258.5134843633341,1.577211999558699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,freq_top,0,36,36,24,,,,,,,,,,,,258.5139737708366,258.7444911188253,258.7445039473313,0.8283518844429765,259.57736358808177,259.57737609587514,383.3386552390335,383.3386552390335,262.5905852877562,None,1,262.59098970640684,,262.59102883335004,262.5910381340168,262.5918517820078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,0,90,180,12,0,180,180,12,180,j,present,resp,freq_top,0,37,37,41,,,,,,,,,,,,262.592354338729,262.5933610557347,262.5933706771142,0.9523513359163492,263.54855397080746,263.5485664786007,387.31025292682364,387.31025292682364,266.5538252039091,None,0,266.5542058898236,390.2910217135292,267.05309333764365,267.05310488329906,267.0537450257468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,168,180,90,0,180,0,168,0,0,f,present,resp,freq_top,0,38,38,48,,,,,,,,,,,,267.0543059521701,267.0555881613416,267.0555987448589,0.7470723476600852,267.8034095603158,267.80342206810906,391.5649359729267,391.5649359729267,269.54411242132915,f,1,269.5446579535454,,269.5454061761559,269.5454157975354,269.54601809589053,1.6934472435697216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,39,39,44,,,,,,,,,,,,269.546521294037,269.5525513332666,269.5525615960714,0.7547932179877035,270.3094697465343,270.3094819336151,394.07112027494054,394.07112027494054,271.75851075157084,f,1,271.75903383390164,,271.7590703951437,271.7590787336725,271.7596986712233,1.4108169765058847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,freq_top,0,40,40,25,,,,,,,,,,,,271.7602313749336,272.4666821250163,272.466695274235,0.8099031444635825,273.282236111218,273.28224926043663,397.04356785125094,397.04356785125094,276.2954847507549,None,1,276.2959946838671,,276.29603349009767,276.29604279076443,276.29658928511867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,0,0,180,0,180,168,0,168,f,abs,resp,freq_top,0,41,41,14,,,,,,,,,,,,276.29706490197736,276.5709858963405,276.5709984041339,0.7864519592372401,277.3612831199953,277.3612953070759,401.1233996438807,401.1233996438807,278.8451820621567,f,1,278.84569937165975,,278.8457362536144,278.8457445921433,278.84622213327793,1.445646049492325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,freq_top,0,42,42,21,,,,,,,,,,,,278.8467185964588,279.4936537380984,279.49366656660425,0.7162410736648003,280.20938879866173,280.209401306455,403.9709533760779,403.9709533760779,283.21452180461154,None,1,283.21492365756103,,283.2149621430789,283.214971123033,283.21612216073095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,freq_top,0,43,43,2,,,,,,,,,,,,283.21671547913184,283.21757402689366,283.2175842896985,0.8583018949759542,284.0728883637754,284.07290055085605,407.8343082997868,407.8343082997868,285.13914855923053,j,1,285.1396716415612,,285.13970788209065,285.13971622061945,285.14047278175883,1.022751463891609,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,270,180,12,180,180,180,180,12,180,j,present,resp,freq_top,0,44,44,35,,,,,,,,,,,,285.1409512850314,285.35519022108645,285.3552027288798,0.8317610950484566,286.187548908679,286.187561737185,409.9491554994522,409.9491554994522,288.3704340140139,j,1,288.3709513235169,,288.3709882054716,288.3709962232879,288.3713567043055,2.140181362520707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
90,0,0,12,0,180,180,180,0,12,j,present,resp,freq_top,0,45,45,36,,,,,,,,,,,,288.37183937684244,288.6110217391862,288.61103424697956,1.0267840738924676,289.64278255425813,289.6427950620515,413.40453667285,413.40453667285,292.1584516121583,j,1,292.1589474339139,,292.15898399515595,292.15899201297213,292.15945480132496,2.4766098936312346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,freq_top,0,46,46,0,,,,,,,,,,,,292.1599281731951,292.3738928999351,292.37390572844106,1.0207619976181956,293.3976512929851,293.39766380077845,417.15963921109824,417.15963921109824,294.9140118073569,j,1,294.9145393796648,,294.9145765823321,294.9145865244242,294.91505059562746,1.4731744197332546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,freq_top,0,47,47,22,,,,,,,,,,,,294.91555026593494,295.24645676665205,295.24646991587065,0.8897232818981067,296.13751613184627,296.1375286396395,419.8989604420191,419.8989604420191,299.15086451301704,None,1,299.15125353746055,,299.15129298511636,299.1513019650705,299.1522660272939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,0,48,48,10,,,,,,,,,,,,299.152753189808,299.1536685037087,299.15367812508816,1.0488555810863376,300.2010024835987,300.20101595353003,423.9621555866861,423.9621555866861,301.8578316104649,f,1,301.8583591827728,,301.8583970268654,301.85840568610695,301.8588726437241,1.6137238518153936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
