ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,text_feedback_2.started,feedback_6.stopped,pause_4.started,pause_4.stopped,text_feedback_2.stopped,int14_3.stopped,per15_3.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.026280472160579e-05,43.819999704944394,space,43.805354791092896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,168,0,180,0,180,180,180,168,180,f,abs,resp,freq_top,0,0,0,12,,,,,,,,,,117.35971900440529,117.86211440718193,117.90144692718798,118.82315423456157,118.82316770449279,0.867396806514908,119.69725399415529,119.69726714337389,243.45862421970617,243.45862421970617,122.70219264823982,None,0,122.70276928958299,246.447706840416,123.20147906259535,123.20148932540019,123.20187129416536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,freq_top,0,1,1,19,,,,,,,,,,,,123.20239405578343,124.30193299927907,124.30194582778495,0.9018347621939717,125.20924864723406,125.20926115502732,248.97054414673755,248.97054414673755,128.2074953111811,f,1,128.20811524873193,,128.20885609495144,128.2088650749056,128.20947410822635,2.950089523246561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,freq_top,0,2,2,30,,,,,,,,,,,,128.20997634423497,128.4484031075773,128.44841561537055,0.856796536965191,129.30534377830293,129.30535596538357,253.06703150937642,253.06703150937642,132.31059159938115,None,1,132.31098222738785,,132.31102103361832,132.31102969285985,132.3122285167425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,180,90,180,12,180,12,0,0,180,j,present,resp,freq_top,0,3,3,39,,,,,,,,,,,,132.3127140756933,132.5695616114656,132.56957411925896,1.0895703833857344,133.66024792370627,133.66026043149964,257.42163129847575,257.42163129847575,135.5587157510962,j,1,135.55921894924268,,135.55925647262268,135.5592648111516,135.559835679667,1.85956677445688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,freq_top,0,4,4,27,,,,,,,,,,,,135.56032059719257,136.69965965973665,136.6996734503806,0.915205619262099,137.6144661930382,137.61447838011884,261.3765711712683,261.3765711712683,140.62850699281853,None,1,140.6289296920902,,140.62896849832077,140.62897747827492,140.62980780332362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,12,180,12,180,90,180,180,0,180,j,present,resp,freq_top,0,5,5,37,,,,,,,,,,,,140.63033280993022,140.86256564987923,140.86257847838522,0.9168769485484152,141.77815183563087,141.77816434342424,265.5396853039201,265.5396853039201,143.9103284225812,j,1,143.91083322429097,,143.91086914410778,143.91087748263658,143.91132391464419,2.092202429493227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,freq_top,0,6,6,3,,,,,,,,,,,,143.91180915288237,144.1595029082223,144.15951541601555,0.9509464211045355,145.11696678956378,145.11697929735703,268.87847909081813,268.87847909081813,146.56649976780398,j,1,146.56701354946802,,146.56705011070994,146.56705812852624,146.5675773623052,1.4095665178867876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
90,0,180,168,180,180,0,168,0,0,f,present,resp,freq_top,0,7,7,46,,,,,,,,,,,,146.56807542904937,147.19087950954054,147.1908952244604,0.9563100698336646,148.14762435312252,148.14763654020328,271.9092068904472,271.9092068904472,150.46344805866215,f,1,150.46396825457907,,150.4640048158211,150.46401347506264,150.46446311419675,2.2667939057206468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
168,0,270,180,180,180,180,168,180,180,f,present,resp,freq_top,0,8,8,49,,,,,,,,,,,,150.4649772165734,150.68778174606223,150.6877942538556,0.877353526505793,151.57004107687612,151.57005358466938,275.3313032222642,275.3313032222642,154.08536152012664,j,0,154.0858643975605,277.82913071477867,154.59122575091658,154.59123633443403,154.59231264608457,2.4764152210531165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by,001,2,24,f,2024-02-12_12h17.15.003,eye_track_exp,2023.1.3,120.14704069045904,
