ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,search_displays_2.stopped,response.keys,response.corr,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,response.rt,response.duration,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.0263027434120886e-05,9.348504869165481,space,9.333752598070873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,0,90,180,12,0,180,180,12,180,j,present,resp,freq_top,0,0,0,41,,,,,,,,,,66.34640255190061,66.84801929962487,66.89095307615025,67.47567373575475,67.4756875266994,0.8446565416645344,68.32417603916292,68.32418918866824,10437.631157336076,10437.631157336076,71.3294528394581,None,0,71.32997208456072,10440.620328237312,71.82874565264501,71.82875559495369,71.82924854104567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,freq_top,0,1,1,13,,,,,,,,,,,,71.82978799148623,71.83055354927455,71.83056349158323,1.0674436476276756,72.90327223837812,72.90328506716469,10442.21066822579,10442.21066822579,74.40410803377017,f,1,74.40474690729934,,74.40550284349956,74.40551278580824,74.40600220398483,1.4497325184560168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,0,2,2,10,,,,,,,,,,,,74.40648616992621,74.6111527690282,74.61116623925409,0.9612468332992056,75.5772680972459,75.57728220891113,10444.883467479669,10444.883467479669,77.50952248693648,f,1,77.51014115512953,,77.51018028292492,77.51018894235494,77.51064981648415,1.8971604752017583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,freq_top,0,3,3,3,,,,,,,,,,,,77.51114276257613,77.70091866934672,77.70093342244945,1.0932873751764611,78.79844309856162,78.79845624806694,10448.105742549362,10448.105742549362,79.84916907954721,j,1,79.84972264165117,,79.84976176944838,79.84977139103648,79.85024669754966,1.0106487246752067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
90,0,0,12,0,0,0,12,0,0,j,present,resp,freq_top,0,4,4,34,,,,,,,,,,,,79.8507579246616,80.07276807992821,80.07278187087286,0.9953229360010383,81.07189219458087,81.07190662696485,10450.37882410067,10450.37882410067,83.02986348888953,j,1,83.03039075198467,,83.03042795546207,83.03043629417334,83.03089620614264,1.9209511376405999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,270,180,12,180,0,12,180,0,180,j,present,resp,freq_top,0,5,5,33,,,,,,,,,,,,83.03140166030062,83.22924238322776,83.22925424985442,0.7880255980964717,84.01951899750566,84.01953182629222,10453.326372648002,10453.326372648002,85.35332592684608,j,1,85.3539057879625,,85.35394363288106,85.3539519715905,85.35443305105582,1.2935984986955873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,freq_top,0,6,6,1,,,,,,,,,,,,85.3549038674937,85.54318105136917,85.54319323871641,0.8770164701200125,86.42614692551615,86.42615943358214,10455.732690440116,10455.732690440116,87.35900779605254,j,1,87.35958060133635,,87.35961972913174,87.359628067843,87.36029035390675,0.8870096984841211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,7,7,44,,,,,,,,,,,,87.36076341538137,87.55888925807267,87.55890176613866,0.963873933572923,88.52398662214182,88.52399945092657,10457.830942582203,10457.830942582203,89.64099188322689,f,1,89.64149380946765,,89.64153197510677,89.64154031381622,89.64193415753834,1.077473869608525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,freq_top,0,8,8,30,,,,,,,,,,,,89.64242261355685,89.8650844711392,89.86509665848462,0.9054513063756178,90.77181855735034,90.77183138613691,10460.079056429979,10460.079056429979,93.78569513416915,None,1,93.78609635444263,,93.78613484080051,93.78614414166987,93.78733946378088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,freq_top,0,9,9,19,,,,,,,,,,,,93.78783722066873,94.01127618194732,94.01128901073207,0.8956166435419606,94.91050991857446,94.91052306807978,10464.21727312613,10464.21727312613,96.99371036706907,f,1,96.99423698872306,,96.99427483364161,96.99428349307163,96.99472640689964,2.034414050263308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,freq_top,0,10,10,20,,,,,,,,,,,,96.99523314393628,97.21733534574196,97.21734721236862,1.058699585379562,98.28249242780839,98.28250557731371,10467.589452877944,10467.589452877944,99.59079380677395,f,1,99.59136789493641,,99.59140606057372,99.59141439928499,99.59186116174897,1.2705089293971241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,11,11,47,,,,,,,,,,,,99.59232941242772,99.88204605020837,99.88205791683504,1.0760311413955426,101.03877949498201,101.03879296520608,10470.345502933302,10470.345502933302,102.47094087597361,f,1,102.47146364899345,,102.47150245607008,102.4715111155001,102.47196236803939,1.3937358308479588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,freq_top,0,12,12,8,,,,,,,,,,,,102.47247872666594,102.67954078078401,102.67955264741067,1.0042847412745077,103.68607993359728,103.68609276238385,10472.993262001008,10472.993262001008,105.03564606406326,j,1,105.03614189663313,,105.03617974154986,105.03618840097988,105.03665472734247,1.3057755821240562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,12,180,12,180,90,180,180,0,180,j,present,resp,freq_top,0,13,13,37,,,,,,,,,,,,105.03712907169574,105.23576293430233,105.23577512164775,0.8919823494193756,106.13422020867256,106.1342330374573,10475.441225880279,10475.441225880279,107.17539227219459,j,1,107.17589868851246,,107.17593813702842,107.17594711717902,107.17642851736309,1.0019751826342826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,freq_top,0,14,14,2,,,,,,,,,,,,107.17689676804366,107.40824820364833,107.40826071171432,0.9311370214735176,108.34031401018729,108.34032651825328,10477.647712242639,10477.647712242639,109.84042497918381,j,1,109.840957053073,,109.84099489799155,109.84100355742157,109.84145064060431,1.4513127041385587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,freq_top,0,15,15,17,,,,,,,,,,,,109.84193685158425,110.06432609747026,110.06433956769433,0.7783243812647055,110.84656515676033,110.84657766482633,10480.153950560425,10480.153950560425,112.41363885941792,f,1,112.41425881048781,,112.41429697612512,112.41430563555696,112.41458947244064,1.5208873785753667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,16,16,6,,,,,,,,,,,,112.4150853050105,112.60494427816775,112.60495710695432,0.8040033820945618,113.41109106256954,113.41110357063553,10482.718477107672,10482.718477107672,114.41106636715631,j,1,114.4115974788856,,114.41163628596223,114.41164526611283,114.41219754533995,0.9570375497763735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
12,0,0,12,0,0,90,180,180,0,j,present,resp,freq_top,0,17,17,38,,,,,,,,,,,,114.412693377908,114.61963420000211,114.61964702878868,1.0314970099054108,115.65124047943573,115.65125394966162,10484.958264111343,10484.958264111343,116.78434041439505,j,1,116.78483945415974,,116.78487729907829,116.78488563778774,116.78534843623493,1.0844934604477885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,freq_top,0,18,18,28,,,,,,,,,,,,116.78583785440969,116.9755059993804,116.9755185074464,0.8343838744035457,117.81606792585444,117.81608043392043,10487.123129402678,10487.123129402678,120.82975944743703,None,1,120.83015200828049,,120.83019241895636,120.83020204054628,120.83083578256083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,freq_top,0,19,19,16,,,,,,,,,,,,120.83132391785875,120.83205163073035,120.8320618937596,0.7302870406852047,121.56263847070477,121.56265162021009,10490.869989557368,10490.869989557368,122.79588728372255,f,1,122.79638856852398,,122.7964267341631,122.79643539359313,122.7968847218126,1.1893970072227376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,20,20,9,,,,,,,,,,,,122.7973616319232,122.98733638487283,122.98734857222007,0.9803500659791591,123.96909449298619,123.96910732177275,10493.276311839558,10493.276311839558,124.65319847286082,j,1,124.6537465827314,,124.65379116276199,124.65379982219201,124.65425588552534,0.6387733358018295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,001,1,24,F,2024-02-08_13h01.40.124,eye_track_exp,2023.1.3,120.07363106799905,
