ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,response_2.rt,response_2.duration,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,text_feedback_2.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
180,180,0,180,180,12,180,180,0,-168,None,abs,inhibit,freq_top,,,,,0,932,932,379,,,,,,,,,,,0.9892479463167145,,,,,,,,,,,,,,,,,,,,,,5158.89382965574,5158.894550303766,5158.894560245951,5159.883065156267,5159.8830789470385,5340.634350183625,5340.634350183625,5162.922773920815,None,1,,,5162.9232501835295,,5162.923288669405,5162.923297649443,5162.923654926656,5342.116416246556,5342.116416246556,5342.116416246556,5342.116416246556,5343.606833103113,5343.606833103113,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
270,0,168,0,0,0,168,0,0,0,f,present,resp,freq_top,,,,,0,933,933,660,,,,,,,,,,,0.9641678349996328,,,,,,,,,,,,,,,,,,,,,,5162.924144338712,5162.925061585419,5162.925072169034,5163.8879538246465,5163.8879679361335,5344.630948352917,5344.630948352917,5164.738019908103,f,1,0.8105527687739595,None,5164.738532411681,,5164.738570256127,5164.738579236165,5164.738976923548,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
90,0,12,0,0,180,180,0,168,0,None,present,inhibit,freq_top,,,,,0,934,934,193,,,,,,,,,,,0.9129671465116007,,,,,,,,,,,,,,,,,,,,,,5164.739463128447,5165.13697925002,5165.136993361507,5166.0524815853105,5166.052495696797,5346.795784321303,5346.795784321303,5169.083988368285,None,1,,,5169.084356870547,,5169.084395356423,5169.0844040157435,5169.084972003128,5348.286184821363,5348.286184821363,5348.286184821363,5348.286184821363,5349.776574096375,5349.776574096375,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
90,180,180,-168,0,180,0,180,-12,180,None,present,inhibit,freq_top,,,,,0,935,935,142,,,,,,,,,,,0.8626025886329325,,,,,,,,,,,,,,,,,,,,,,5169.08545949089,5169.086116316504,5169.086126579404,5169.949612687767,5169.949627440686,5350.692462573288,5350.692462573288,5172.980777587879,None,1,,,5172.98116437093,5353.706575664675,5173.487204568787,5173.487224453155,5173.487896031688,5352.182881033423,5352.182881033423,5352.182881033423,5352.182881033423,5353.673262931976,5353.673262931976,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,180,0,270,180,180,180,-12,0,12,j,present,resp,freq_top,,,,,0,936,936,587,,,,,,,,,,,1.043212919972405,,,,,,,,,,,,,,,,,,,,,,5173.488429381786,5174.004702011881,5174.00471612337,5175.0531926118665,5175.053207685501,5355.796479312077,5355.796479312077,5176.095347795256,j,1,1.0050584609934958,None,5176.095885314656,,5176.096627129912,5176.096637072097,5176.097229754586,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
90,0,180,180,180,180,168,0,0,12,None,present,inhibit,freq_top,,,,,0,937,937,164,,,,,,,,,,,1.0254595382670533,,,,,,,,,,,,,,,,,,,,,,5176.097714676621,5176.461080035549,5176.46109382632,5177.492883480482,5177.492897591971,5358.244387556619,5358.244387556619,5180.532742339948,None,1,,,5180.533127198706,,5180.533166005297,5180.533174985335,5180.533788193624,5359.734800564587,5359.734800564587,5359.734800564587,5359.734800564587,5361.208538925417,5361.208538925417,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,-168,180,270,0,180,12,0,180,180,None,present,inhibit,freq_top,,,,,0,938,938,49,,,,,,,,,,,0.7330663335320864,,,,,,,,,,,,,,,,,,,,,,5180.534281454266,5180.535142255022,5180.535152517922,5181.264411437104,5181.264425227876,5362.0078629851505,5362.0078629851505,5184.295904429307,None,1,,,5184.296270365844,,5184.296307568856,5184.2963162281785,5184.296850861137,5363.498265730221,5363.498265730221,5363.498265730221,5363.498265730221,5364.988663664555,5364.988663664555,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
-12,0,-12,0,270,0,0,0,180,180,j,present,resp,freq_top,,,,,0,939,939,471,,,,,,,,,,,0.8147264872131692,,,,,,,,,,,,,,,,,,,,,,5184.297338028183,5184.429304172157,5184.429317642213,5185.244331110666,5185.24434490144,5365.987809278111,5365.987809278111,5186.361359282649,j,1,1.0692163403191444,None,5186.361877879825,,5186.361916686416,5186.361925666454,5186.3624965402805,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,12,0,90,180,180,180,180,0,12,j,present,resp,freq_top,,,,,0,940,940,572,,,,,,,,,,,0.9769792491614802,,,,,,,,,,,,,,,,,,,,,,5186.362978896591,5186.743811390986,5186.74383384108,5187.725586404479,5187.725599874536,5368.469030896782,5368.469030896782,5188.460016221797,j,1,0.6999889410717515,None,5188.460532894679,,5188.460572021987,5188.46058132274,5188.46114738583,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,0,168,0,0,168,0,180,180,180,f,abs,resp,freq_top,,,,,0,941,941,765,,,,,,,,,,,1.087092830979056,,,,,,,,,,,,,,,,,,,,,,5188.461688112387,5189.009574003047,5189.009587793819,5190.098832370598,5190.098846482087,5370.842025421845,5370.842025421845,5190.790761914505,f,1,0.6474082546292266,None,5190.791294302454,,5190.791333750477,5190.791342730515,5190.7919152079185,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
168,0,0,90,0,180,180,180,12,180,None,present,inhibit,freq_top,,,,,0,942,942,87,,,,,,,,,,,0.708473662021022,,,,,,,,,,,,,,,,,,,,,,5190.792415203589,5190.999451255554,5190.999465046326,5191.705800174276,5191.705814285765,5372.448995791248,5372.448995791248,5194.737284507158,None,1,,,5194.737672573073,,5194.737711058949,5194.7377200389865,5194.738296685692,5373.939392122005,5373.939392122005,5373.939392122005,5373.939392122005,5375.4297871699,5375.4297871699,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,90,180,12,0,0,12,180,180,180,j,present,resp,freq_top,,,,,0,943,943,432,,,,,,,,,,,0.9910193515669994,,,,,,,,,,,,,,,,,,,,,,5194.738834525807,5194.739579868937,5194.739590131837,5195.727396202791,5195.727409993563,5376.470581236146,5376.470581236146,5196.561572430258,j,1,0.7933043613675181,None,5196.562061521597,,5196.562099045325,5196.562108025363,5196.562581080921,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
