ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_2.started,fix_check_2.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.0583449579826265e-05,34.34665287183509,space,34.33585623684985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,0,0,44,,,,,,,,,,88.45880953511073,88.9605840268166,89.06695282603766,89.12625189379605,89.12626696719394,0.748788461711252,89.87385009217223,89.87386259988534,169.9529376448811,169.9529376448811,92.88728177247765,None,0,92.88767688792711,172.95033507842663,93.37826050423405,93.37827076697295,93.37937016288254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,1,1,47,,,,,,,,,,,,93.3799217851008,94.47854446139229,94.47855761052654,1.0129876195126062,95.49399790126995,95.49401072969363,175.57309699956,175.57309699956,98.49910072749992,None,0,98.49932875273089,178.55383191429587,98.99836148958525,98.99837175232426,98.99953945958987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,freq_top,0,2,2,4,,,,,,,,,,,,99.00010006170476,99.00116001021149,99.00117027295039,0.777992185418722,99.78194437852062,99.78195784836544,179.861018140674,179.861018140674,101.48115889413862,f,0,101.48165054347623,181.53456490476822,101.97953930564881,101.97954860625589,101.97984109431593,1.6628620571057127,None,182.03416177155407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
90,0,0,12,0,180,180,180,0,12,j,present,resp,freq_top,0,3,3,36,,,,,,,,,,,,101.98037347389868,101.98119064448724,101.98120090722614,0.920934614514056,102.90418738991616,102.90419989762916,182.9833438954022,182.9833438954022,104.91149446004522,j,1,104.91188155772988,,104.91262496488218,104.91263426548937,104.91312046274697,1.9631065027189152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
90,0,180,168,180,180,0,168,0,0,f,present,resp,freq_top,0,4,4,46,,,,,,,,,,,,104.91360152863501,105.12774768799738,105.12776051642106,0.7480565849221678,105.87674771237141,105.87676086150566,185.95577817859476,185.95577817859476,107.30948700416536,j,0,107.30987634682413,187.37123309374124,107.81578992943082,107.81580019216983,107.81637298128715,1.3912362211734717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,5,5,31,,,,,,,,,,,,107.81691626503016,107.81782034818912,107.81783061092801,1.0165916893823208,108.83253134304618,108.83254417146986,188.91155282937302,188.91155282937302,111.83759343903102,None,1,111.83781953999846,,111.8386232407421,111.83863286205985,111.84012256275992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,freq_top,0,6,6,13,,,,,,,,,,,,111.84063185118009,112.17186142993307,112.17187554119914,0.8448610917389598,113.02043022684506,113.02045107303354,193.09959956075477,193.09959956075477,114.95334975799176,j,0,114.95371825446205,195.01462215802314,115.45917322092214,115.45918412508229,115.46005998570911,1.8949898179428146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,freq_top,0,7,7,24,,,,,,,,,,,,115.46063181269483,115.59377128716562,115.59378475701044,0.9287558797883327,116.5256340769115,116.52564658462461,196.60490860389552,196.60490860389552,119.53094889284296,None,1,119.53117916304802,,119.53195335841724,119.53196330044557,119.5326274920817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,freq_top,0,8,8,29,,,,,,,,,,,,119.53312427278877,119.75684909540371,119.75686192382739,1.0385083996344635,120.79701521066204,120.79702900121742,200.87622559552756,200.87622559552756,123.81059249357622,None,1,123.81082180164947,,123.81086221118414,123.81087119108065,123.81141960619311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,001,1,m,27,2024-01-19_13h07.43.352,eye_track_exp,2023.1.3,120.12975855194534,
