ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.026302925311029e-05,21.61790808688238,space,21.60211567577062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,12,180,12,180,90,180,180,0,180,j,present,resp,freq_top,0,0,0,37,,,,,,,,,,80.95642542562928,81.45831157785142,81.56180010956086,81.66832008333586,81.66833355356357,0.7186218636545858,82.39259997152112,82.39261280030769,237.0478497672193,237.0478497672193,85.39776002986764,None,0,85.39831359196978,240.03704568458852,85.89709678164218,85.897107365392,85.89777702800711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,270,180,12,180,0,12,180,0,180,j,present,resp,freq_top,0,1,1,33,,,,,,,,,,,,85.89830140462436,85.89913944505315,85.89914938736183,0.9426734449849348,86.8474827356622,86.84749524372819,241.5024602403828,241.5024602403828,88.47985303343012,j,1,88.48052045100849,,88.48126355842396,88.48127382145321,88.48184374026096,1.5960893536648655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,freq_top,0,2,2,1,,,,,,,,,,,,88.48233123411774,88.48345856366359,88.48346850597227,0.9931235461727195,89.48658461802916,89.48659744681572,244.14193768545374,244.14193768545374,90.65307275076339,j,1,90.65359776881814,,90.65363433085804,90.65364299028806,90.65399802693355,1.1317925058247056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,freq_top,0,3,3,17,,,,,,,,,,,,90.65448969014687,91.31896434495866,91.31897749446216,0.7728381271795332,92.0923236394774,92.0923367889809,246.74807921005413,246.74807921005413,93.42618477043652,f,1,93.42669086603564,,93.42673704966364,93.42674602981424,93.42720562106115,1.2934461106524395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
90,0,0,12,0,0,0,12,0,0,j,present,resp,freq_top,0,4,4,34,,,,,,,,,,,,93.4277078680243,93.95833915974072,93.95835262996479,0.708034183835563,94.66590795089724,94.66593745710634,249.32094863738894,249.32094863738894,95.85756744413447,j,1,95.85808957571498,,95.85812677919239,95.85813511790548,95.85848855095173,1.1523301089218876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
168,0,270,180,180,180,180,168,180,180,f,present,resp,freq_top,0,5,5,49,,,,,,,,,,,,95.85898726999585,96.46445528334516,96.46446843284866,0.8369822514915427,97.30522792262491,97.30524010997033,251.96039433121405,251.96039433121405,98.32138994762136,f,1,98.32192105935246,252.95954666919715,98.82793487338859,98.82794449497669,98.82912185679015,0.9771334757097065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,0,180,0,12,0,12,180,180,180,j,abs,resp,freq_top,0,6,6,7,,,,,,,,,,,,98.82965104420146,98.8305214773136,98.83053141962228,1.0026594173035814,99.8359464500827,99.83595863743176,254.49161735067537,254.49161735067537,101.44437823365661,f,0,101.44489972379597,256.08195990491004,101.95030898130426,101.95031924433351,101.95106555894381,1.5657582555322733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,freq_top,0,7,7,19,,,,,,,,,,,,101.95158961484412,101.95258384573754,101.95259378804622,1.0966387846374859,103.050302631058,103.0503157805615,257.70558834735493,257.70558834735493,104.0755926578313,f,1,104.07619881795836,,104.07697784597258,104.0769881089982,104.07756315932056,0.975194725462643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,270,180,12,180,180,180,180,12,180,j,present,resp,freq_top,0,8,8,35,,,,,,,,,,,,104.07806155764774,104.39109932430802,104.39111151165707,0.9833857367580053,105.37320829971213,105.37322080777813,260.02866784605794,260.02866784605794,106.656684053949,j,1,106.65721131704413,,106.65724787908403,106.65725653851405,106.65771196040805,1.2442300777474884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
