ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,response_2.rt,response_2.duration,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,freq_top,0,9,9,25,,,,,,,,,,,,106.65820073714349,106.88917372356809,106.88918655235466,0.7460497267169246,107.63805954352574,107.63807205159173,262.29345334234677,262.29345334234677,108.77077685995027,f,0,108.7712835969869,263.40917283837916,109.27753249852321,109.2775424408319,109.27904052228769,1.0911560441054462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,freq_top,0,10,10,8,,,,,,,,,,,,109.27957291689381,109.28077240836137,109.28078331282813,0.9417284624937067,110.21876062384035,110.21877505622251,264.8746136931877,264.8746136931877,111.40251501930106,j,1,111.40302785001404,,111.40377769253973,111.40378795556899,111.40420713614003,1.1347700669975893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,freq_top,0,11,11,5,,,,,,,,,,,,111.40469463000045,111.40552529387787,111.40553523618655,0.789135124017832,112.20051520403649,112.20052771210248,266.8562993186606,266.8562993186606,113.10136023615269,j,1,113.10186472815258,,113.10190161091305,113.1019099496225,113.10228679520515,0.8647831395319372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,freq_top,0,12,12,30,,,,,,,,,,,,113.10276947826787,113.19243787981395,113.19245038787994,0.9868312283027563,114.18266811803187,114.1826822296971,268.83797403966673,268.83797403966673,115.78221853323339,f,0,115.7827255909906,270.419989108359,116.2883510135398,116.28836095584847,116.28953446902597,1.5548945190457744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,270,0,0,0,0,0,168,0,168,f,present,resp,freq_top,0,13,13,43,,,,,,,,,,,,116.29007616450326,116.29083851509495,116.2908487781242,0.889941771355298,117.18007958978706,117.1800927392942,271.8354570319061,271.8354570319061,118.59627009469114,f,1,118.59681756312057,,118.59753822016137,118.59754848319062,118.59816875497927,1.3737087672125199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,freq_top,0,14,14,3,,,,,,,,,,,,118.5986533623618,118.86217201605905,118.86218484484198,0.7815127786136732,119.64428439108815,119.64429721987472,274.30007588226727,274.30007588226727,120.66099452595881,j,1,120.6615006215543,,120.66153718359419,120.66154552230728,120.66199998203956,0.9728127406706335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,15,15,44,,,,,,,,,,,,120.66247304351418,121.05210796193205,121.05212111143555,1.0745626697208215,122.12593826531884,122.1259510941054,276.7813404028493,276.7813404028493,123.19286058830403,f,1,123.19337053253548,,123.19340869817461,123.19341703688406,123.19388624972271,1.0193344078470545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,0,180,0,0,0,168,0,180,168,f,abs,resp,freq_top,0,16,16,15,,,,,,,,,,,,123.1943775922191,123.450206351019,123.45021950052615,0.8238767378225771,124.27430509675105,124.27431792553398,278.92953949790535,278.92953949790535,125.42442305743316,f,1,125.42493011519036,,125.42496796010892,125.42497694025951,125.42527296449043,1.1108286663256877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,freq_top,0,17,17,24,,,,,,,,,,,,125.42577168353455,125.63179107809265,125.63180358615864,1.0279669620518308,126.66366323411421,126.6636757421802,281.3192042432456,281.3192042432456,129.67747502556085,None,1,129.67791729795135,,129.67795418071182,129.67796316085878,129.67917034959828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,freq_top,0,18,18,21,,,,,,,,,,,,129.6801389229222,129.6867704429933,129.6867807060189,1.079976606872286,130.768672939088,130.76868544715398,285.42410811074296,285.42410811074296,133.7823583669997,None,1,133.78275798367395,,133.78279743219173,133.78280705377983,133.78345907681796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,0,90,180,12,0,180,180,12,180,j,present,resp,freq_top,0,19,19,41,,,,,,,,,,,,133.78395234362688,133.9917863699302,133.9917988779962,1.069169685850654,135.06510127685033,135.06511378491632,289.7205249025974,289.7205249025974,135.99892526847543,j,1,135.99949871519857,290.6364158553515,136.50479507939235,136.5048053424216,136.50562670542786,0.8959532402477635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,180,0,0,180,0,180,168,0,168,f,abs,resp,freq_top,0,20,20,14,,,,,,,,,,,,136.50615621355973,136.50707154742122,136.50708213117105,0.8041382772817094,137.31365002046368,137.31366316996719,291.9686612007463,291.9686612007463,138.3466822194314,f,1,138.34724861032373,,138.3479843411842,138.34799492493403,138.34846670353,0.9991139964804461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
12,0,0,12,0,0,90,180,180,0,j,present,resp,freq_top,0,21,21,38,,,,,,,,,,,,138.34897215768797,138.34973835691562,138.34974861994488,0.7251420529832405,139.0782174273918,139.07822993546142,293.7338325227647,293.7338325227647,140.0452160175082,j,1,140.04572981037927,,140.04576669313974,140.0457750318492,140.04623783029456,0.9300624157804123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,freq_top,0,22,22,22,,,,,,,,,,,,140.04671826832055,140.32023888482217,140.32025203432568,0.8770797255689935,141.20194433076904,141.2019571595556,295.8570411431974,295.8570411431974,144.21528049498738,None,1,144.21566760359565,,144.21570576923477,144.21571507010594,144.21634624636135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,23,23,31,,,,,,,,,,,,144.21683213662254,144.50722998292622,144.50724313243336,0.7651380697433092,145.273060063093,145.273072571159,299.92867740350266,299.92867740350266,148.286899115712,None,1,148.28728846936065,,148.2873269557167,148.28733625658788,148.2881884086819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,0,24,24,10,,,,,,,,,,,,148.28867077102404,148.28945364767424,148.28946358998292,1.0035306527640797,149.29506175135975,149.2950749008669,303.95029551107655,303.95029551107655,150.528600174217,f,1,150.5291389832164,305.16594836156946,151.0342974379637,151.0343080217135,151.03521341326632,1.1936333467820077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,freq_top,0,25,25,29,,,,,,,,,,,,151.0357393934828,151.03672304063002,151.03673330365564,0.7234174994700261,151.7597495564478,151.75976238523072,306.41490313625036,306.41490313625036,154.77314858171667,None,1,154.77354146327707,,154.7742637239171,154.77427462838386,154.77491542623102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,180,90,180,12,180,12,0,0,180,j,present,resp,freq_top,0,26,26,39,,,,,,,,,,,,154.77540741016492,155.0909971430301,155.09100997181667,0.8182223839490007,155.91464110830566,155.91465361637165,310.5697526738368,310.5697526738368,157.04741936146092,j,1,157.04792609849756,,157.04796266053745,157.0479709992469,157.04845753094924,1.0854902108840179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,27,27,47,,,,,,,,,,,,157.04893508249734,157.2550320912087,157.25504491999527,0.9598661024020836,158.22059385732064,158.2206066861072,312.87618425728215,312.87618425728215,159.7706896242089,f,1,159.77121432154308,,159.77125152502413,159.77125986373358,159.77170983339238,1.5157641567784594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,168,180,90,0,180,0,168,0,0,f,present,resp,freq_top,0,28,28,48,,,,,,,,,,,,159.77219668581165,159.7729462076204,159.7729558292085,1.0175215145599206,160.7937849664595,160.7937974745255,315.4490142361028,315.4490142361028,161.77726245258236,f,1,161.77778298056364,316.41489447682034,162.28325766487978,162.28326792790904,162.28395619226285,0.9428575259626086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,270,0,0,12,0,0,12,0,0,j,present,resp,freq_top,0,29,29,40,,,,,,,,,,,,162.284470947292,162.28525125818487,162.28526120049355,1.0207254074546734,163.30782831749457,163.3078411462775,317.9635967168542,317.9635967168542,164.2081739891255,j,1,164.20868393335695,318.83784511037084,164.70661304661917,164.7066217060492,164.70698091205122,0.8594117269421986,None,319.33742272260133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
90,0,0,12,0,12,180,180,180,0,j,present,resp,freq_top,0,30,30,32,,,,,,,,,,,,164.70750368506924,164.70824807536337,164.70825865910956,0.8229521690158019,165.53096580230704,165.5309786310936,320.1867396539019,320.1867396539019,167.29751525663596,j,1,167.29803482245552,,167.29878274066505,167.29879332441487,202.87511978878683,1.7244939530392003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,0,0,-168,0,0,0,12,0,0,None,abs,inhibit,freq_top,0,31,31,23,,,,,,,,,,,,202.87567591664993,202.87650946700523,202.876520371472,0.7789056125554212,203.65742972712178,203.6574425559047,358.31321929397745,358.31321929397745,206.67143619539274,None,1,206.67207378604508,,206.6721125931217,206.6721215732723,206.67270464158355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,freq_top,0,32,32,28,,,,,,,,,,,,206.67318315529337,206.96374905869015,206.96376220819366,1.0165697972960157,207.97883025848932,207.9788430872759,362.6346076379996,362.6346076379996,210.99282197365756,None,1,210.9932148552216,,210.99325270014015,210.99326168029074,210.99393519154182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,freq_top,0,33,33,4,,,,,,,,,,,,210.99441242236935,211.25272162689726,211.25273381424267,0.8936236978483044,212.15063816794645,212.15065067601245,366.80613363489465,366.80613363489465,213.05119775958156,j,1,213.05170738309607,,213.05174490729405,213.0517532460035,213.05222181740464,0.8634543980479066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,270,0,0,168,0,0,168,180,0,f,present,resp,freq_top,0,34,34,45,,,,,,,,,,,,213.05269487887927,214.03305304574678,214.03306619525392,1.0299619768449946,215.06501853118243,215.0650320014065,369.7203513932691,369.7203513932691,216.4975317416247,f,1,216.4980448930546,,216.4980824172526,216.49809075596204,216.49855964808376,1.3899561036341765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,168,0,180,0,180,180,180,168,180,f,abs,resp,freq_top,0,35,35,12,,,,,,,,,,,,216.49904233114648,216.7227138141643,216.72272632223394,0.7166951219811406,217.43830957656246,217.43832208462845,372.093374637745,372.093374637745,218.77061553797103,f,1,218.77113029299653,,218.77116845863566,218.77117711806568,218.7716447273051,1.2883643078966998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,36,36,6,,,,,,,,,,,,218.77213093828686,219.02087852807745,219.020891356864,0.8043632221925817,219.82733769341212,219.82735052219869,374.48304772179836,374.48304772179836,221.26068124701123,j,1,221.2611895876471,,221.2612267911245,221.26123512983395,221.26186470249377,1.394399995013373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,freq_top,0,37,37,27,,,,,,,,,,,,221.2623512341961,221.55979048027075,221.55980330905732,1.0725076930043949,222.63329525322115,222.63330776128714,377.28901394104105,377.28901394104105,225.64725585858832,None,1,225.6476650968507,,225.6477032624898,225.64771256336098,225.6492295672724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,freq_top,0,38,38,0,,,,,,,,,,,,225.64971481609246,225.65044413256328,225.65045407487196,1.0718327148098141,226.72198161121923,226.7219944400058,381.3772573852111,381.3772573852111,227.84698048870268,j,1,227.84748722573931,,227.84752410849615,227.84753340936732,227.847940081876,1.0762935751045006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,270,0,0,12,0,180,180,180,12,j,present,resp,freq_top,0,39,39,42,,,,,,,,,,,,227.8484176334241,228.13807686238943,228.1380903326135,1.0226941427145617,229.1618120403291,229.16182518983624,383.81690821131997,383.81690821131997,230.21168618994125,j,1,230.21221826383044,,230.2122551465909,230.21226348530035,230.2127140964003,1.0044241516188777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,freq_top,0,40,40,11,,,,,,,,,,,,230.21319485514687,230.55239628889103,230.55240879695702,1.0456547670076761,231.60146382859966,231.6014766573826,386.25653915281146,386.25653915281146,232.81801790128884,f,1,232.8186160434234,,232.81865260546328,232.81866094417273,232.8191452308347,1.1730287132777448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
90,0,180,168,180,180,0,168,0,0,f,present,resp,freq_top,0,41,41,46,,,,,,,,,,,,232.8196240652651,233.09995067332056,233.09996318138656,0.8031186601041099,233.90766930469545,233.90769143434954,388.5629736227311,388.5629736227311,235.02400233740627,f,1,235.02452190322947,,235.02455974814802,235.02456840757804,235.02503056458227,1.0739529631464393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,freq_top,0,42,42,18,,,,,,,,,,,,235.02553152866676,235.34000515717344,235.3400186273975,0.7000499966359806,236.03934043363915,236.03935390386323,390.6945081251106,390.6945081251106,237.07296115315694,f,1,237.0735900843756,,237.0736276085736,237.07363594728668,237.0741256861802,0.9905161442766257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,freq_top,0,43,43,2,,,,,,,,,,,,237.07460836924292,237.44632596405427,237.4463387928372,0.9506951645261696,238.40371451076862,238.4037273395552,393.0592170335476,393.0592170335476,239.27056646786514,j,1,239.27107512921793,,239.27111137053726,239.27112002997092,239.27159886439767,0.8180020101608534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
90,0,0,12,0,180,180,180,0,12,j,present,resp,freq_top,0,44,44,36,,,,,,,,,,,,239.27207994386117,239.66172704962446,239.66173987841103,1.0553018339721811,240.71878114989522,240.7187939786818,395.37392125947736,395.37392125947736,241.33511803124566,j,1,241.33564112498425,,241.335677045583,241.3356850635755,241.33613888187028,0.5670751303914585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,freq_top,0,45,45,13,,,,,,,,,,,,241.33661643341838,241.61834073768114,241.6183535664677,0.762096806521373,242.3840268147287,242.38403964351528,397.03919707195746,397.03919707195746,243.1013788378914,f,1,243.10189968659324,,243.10193721079122,243.10194619094182,243.10241187586507,0.6774610587526695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,46,46,9,,,,,,,,,,,,243.10289776612626,243.10364472217407,243.10365466448275,0.8945086878900643,244.0072219649337,244.00723543516142,398.6628348152699,398.6628348152699,244.77452831762275,j,1,244.77505301495694,,244.7750898977174,244.77509855714743,244.7755517340047,0.7179932865874434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,freq_top,0,47,47,26,,,,,,,,,,,,244.77605526384286,244.7833795383449,244.78339012209108,1.0767250573535492,245.86415406345623,245.86416689223915,400.51963381513633,400.51963381513633,247.03068292758326,j,0,247.03118196734795,401.6686590839963,247.53703253508502,247.53704279811427,247.53817333485858,1.1174329252244206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cml,001,1,26,m,2024-02-08_14h57.30.496,eye_track_exp,2023.1.3,120.09860603181868,
