ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.0262804778449208e-05,19.243659831638695,space,19.169450642559354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,0,0,6,,,,,,,,,,260.55215749813345,261.0535689545024,261.11421764073515,261.3579608576626,261.35797464830654,0.7957644194694596,262.15648371934304,262.1565141870447,298.97420347806457,298.97420347806457,263.8059784686356,j,1,1.6141533675906317,None,263.8067026377974,263.8067452925797,263.80675395182124,263.80721994730044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,1,1,9,,,,,,,,,,,,263.8076901120441,264.2303239582612,264.23033678676717,0.8610148667660531,265.095358133401,265.0953706411944,301.91333606580514,301.91333606580514,268.10929758798426,None,0,,,268.109706496612,268.60024258704783,268.6002531705653,268.6013455178483,304.9107687610486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,2,2,47,,,,,,,,,,,,268.60188239082294,268.6028050811146,268.60281566463203,1.0391378280482595,269.6417088083088,269.6417216368147,306.4594365848465,306.4594365848465,271.591156797697,f,1,1.9045638028105145,None,271.5916715414989,271.5924171984082,271.5924264990751,271.5927943564837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,freq_top,0,3,3,17,,,,,,,,,,,,271.593276708308,271.85674214959573,271.8567549781017,1.0610414322329245,272.9225042783067,272.9225171068127,309.73995527982817,309.73995527982817,274.055274183658,f,1,1.0877580751392202,None,274.05576711899977,274.0558049630924,274.0558133016213,274.0562661478819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
90,0,0,12,0,180,180,180,0,12,j,present,resp,freq_top,0,4,4,36,,,,,,,,,,,,274.0567484997062,274.3801105560644,274.380123705283,0.9926215187487086,275.3786580484763,275.3786705562697,312.19618473818304,312.19618473818304,277.411443861175,j,1,1.991588538735698,None,277.4119464178962,277.41198297913826,277.4119913176672,277.4123627029149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,freq_top,0,5,5,28,,,,,,,,,,,,277.41283799906097,277.79402518748856,277.79403833670716,0.9029152101021911,278.7008719535506,278.70089312058536,315.5183386699918,315.5183386699918,281.71425272669893,None,1,,,281.7156500717113,281.71568951936723,281.7156991407466,281.7161693054904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
168,0,270,180,180,180,180,168,180,180,f,present,resp,freq_top,0,6,6,49,,,,,,,,,,,,281.71664428092373,282.00695016382,282.00696363375124,1.095085752549652,283.1055253658048,283.1055385150234,319.92288785063516,319.92288785063516,284.9549754718966,f,1,1.8007006906662468,None,284.9554626344107,284.95549919565264,284.95550721346893,284.95585262099206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,freq_top,0,7,7,24,,,,,,,,,,,,284.9563256721496,285.4369677773587,285.4369809265773,0.7501545451010204,286.1860980046542,286.1861111538728,323.00358300171644,323.00358300171644,289.19955863525223,None,1,,,289.20000218084596,289.2000406663639,289.20004964631806,289.20133249691474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
0,168,180,90,0,180,0,168,0,0,f,present,resp,freq_top,0,8,8,48,,,,,,,,,,,,289.2018026616584,289.51661131166344,289.5166324786982,0.9241877604324978,290.4408779059773,290.4408913759085,327.25825803000333,327.25825803000333,291.95686607296335,f,1,1.4724490492589553,None,291.957393003846,291.9574295650879,291.95743790361684,291.9579292353954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSR,001,2,33,F,2024-02-16_10h38.39.135,eye_track_exp,2023.1.3,120.10122525700554,
