ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
0,180,0,0,-168,180,12,180,270,180,None,present,inhibit,freq_bottom,,,,,0,973,973,327,,,,,,,,,,,0.8757076549993696,,,,,,,,,,,,,,,,,,,,,3304.7392158019866,3304.739941911259,3304.7399518535676,3305.6200283644466,3305.6200418346707,3352.705814775425,3352.705814775425,3354.196241935504,3354.196241935504,3354.196241935504,3354.196241935504,3308.6515278442384,None,1,,,3308.651891540314,3308.6519303473906,3308.6519386861,3308.6523928251154,3355.6866540217598,3355.6866540217598,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,0,-168,180,180,180,180,12,180,180,None,abs,inhibit,freq_bottom,,,,,0,974,974,367,,,,,,,,,,,1.0571369121142027,,,,,,,,,,,,,,,,,,,,,3308.652855302844,3308.653743054816,3308.6537529971247,3309.708359044358,3309.7083728353027,3356.7940588610363,3356.7940588610363,3358.284481531038,3358.284481531038,3358.284481531038,3358.284481531038,3312.739367181657,None,1,,,3312.7397337642105,3312.739771609129,3312.739780589276,3312.7402324832547,3359.7748872029006,3359.7748872029006,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
-168,180,0,180,180,180,90,180,-168,180,f,present,resp,freq_bottom,,,,,0,975,975,462,,,,,,,,,,,0.9789024523714183,,,,,,,,,,,,,,,,,,,,,3312.7407055447293,3312.7414845727435,3312.741494515052,3313.7217227904657,3313.7217365814104,3360.807369046961,3360.807369046961,,,,,3315.004716823798,f,1,1.2421461987505609,None,3315.0052524256025,3315.0052915533997,3315.0053002128298,3315.005764935595,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
168,180,180,168,180,0,180,0,180,180,f,abs,resp,freq_bottom,,,,,0,976,976,824,,,,,,,,,,,1.078560408685303,,,,,,,,,,,,,,,,,,,,,3315.0062267718786,3315.2041829538794,3315.2041964241034,3316.286549210581,3316.286563001526,3363.371885651901,3363.371885651901,,,,,3317.2026441410308,f,1,0.8689770268392749,None,3317.203149274468,3317.2031884022654,3317.203197382416,3317.20374998236,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,0,168,0,0,168,180,0,90,180,f,present,resp,freq_bottom,,,,,0,977,977,642,,,,,,,,,,,0.7255837459238843,,,,,,,,,,,,,,,,,,,,,3317.204218553761,3317.4197405506384,3317.419754341583,3318.1513280358995,3318.151341826844,3365.2453078716135,3365.2453078716135,,,,,3318.8186824323893,f,1,0.6116476208226231,None,3318.819182434312,3318.81922188283,3318.81923054226,3318.819937729073,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
12,180,180,180,180,270,180,-12,180,180,j,present,resp,freq_bottom,,,,,0,978,978,422,,,,,,,,,,,0.8819397414480441,,,,,,,,,,,,,,,,,,,,,3318.8204223364555,3319.033771778468,3319.033785890133,3319.9160413702702,3319.916055161215,3367.0021712719863,3367.0021712719863,,,,,3321.3500626044734,j,1,1.38304988407981,None,3321.350564209999,3321.3506039792337,3321.3506132801012,3321.3510808893443,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,12,180,0,0,270,180,12,180,180,j,present,resp,freq_bottom,,,,,0,979,979,637,,,,,,,,,,,0.9314704277911598,,,,,,,,,,,,,,,,,,,,,3321.351556837293,3321.523991112219,3321.524004582443,3322.455580329366,3322.4555941203107,3369.5417140797217,3369.5417140797217,,,,,3323.5903887378663,j,1,1.100481445715559,None,3323.590920491035,3323.5909599395527,3323.5909685989827,3323.5914397361375,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,180,180,12,180,168,0,0,90,0,None,present,inhibit,freq_bottom,,,,,0,980,980,87,,,,,,,,,,,0.8050982120351291,,,,,,,,,,,,,,,,,,,,,3323.5919432659794,3323.813362334942,3323.8133758051663,3324.6208404265817,3324.6208542175264,3371.7148933863755,3371.7148933863755,3373.2053166978185,3373.2053166978185,3373.2053166978185,3373.2053166978185,3327.6608152436784,None,1,,,3327.661204918044,3327.6612434044,3327.6612523845506,3327.661920764287,3374.679075737302,3374.679075737302,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,0,0,168,0,12,0,90,180,180,None,present,inhibit,freq_bottom,,,,,0,981,981,200,,,,,,,,,,,0.7533617200099761,,,,,,,,,,,,,,,,,,,,,3327.662417559015,3327.6631427061293,3327.663152648438,3328.4176334225776,3328.417655872956,3375.5033855165566,3375.5033855165566,3377.0021324649097,3377.0021324649097,3377.0021324649097,3377.0021324649097,3331.4490674755652,None,1,,,3331.4494574706514,3331.4494959570075,3331.4495046164375,3331.449983771585,3378.475901125981,3378.475901125981,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,0,180,-168,180,180,180,0,180,-168,f,abs,resp,freq_bottom,,,,,0,982,982,886,,,,,,,,,,,0.8463191258383594,,,,,,,,,,,,,,,,,,,,,3331.4504895464634,3331.451230729559,3331.4512406718677,3332.2974402082364,3332.297453999181,3379.3834719697443,3379.3834719697443,,,,,3333.5652273196683,f,1,1.2265422259370098,None,3333.5657372639034,3333.565777033138,3333.5657860132887,3333.5662561882855,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
