ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,text_feedback_2.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,9,9,6,,,,,,,,,,,,164.2482916280096,164.48801245146387,164.4880256008073,0.9987811158180125,165.48628251134505,165.48629694354895,588.6842708546137,588.6842708546137,167.16900238516246,j,1,1.635295163745468,None,167.16950975729196,167.16955080889238,167.1695594682169,167.17003669307815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,freq_top,0,10,10,16,,,,,,,,,,,,167.17051808724136,167.43585414751215,167.4358765976067,0.9280446442333906,168.3674904033869,168.36750387344364,591.5651452023994,591.5651452023994,170.34206182307025,f,1,1.938272655599576,None,170.3425682330526,170.3426089639397,170.3426176232606,170.34307336017446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
12,0,0,12,0,0,90,180,180,0,j,present,resp,freq_top,0,11,11,38,,,,,,,,,,,,170.34356277222832,170.5742779007378,170.5742910500776,1.0652766590152973,171.6395849041728,171.6395980535126,594.8373708758772,594.8373708758772,172.82348196471867,j,1,1.1466659761208575,None,172.82398292253492,172.82402301198817,172.82403135059576,172.82459805511826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,freq_top,0,12,12,24,,,,,,,,,,,,172.82506790351908,173.13881342271998,173.13882657205977,0.8693149022017213,174.01275838855872,174.01277121718522,597.2103426301328,597.2103426301328,177.02624383945658,None,1,,,177.02663286751704,177.02667648484203,177.02668610631008,177.0280250940741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,freq_top,0,13,13,13,,,,,,,,,,,,177.02852380688273,178.01842832021794,178.0184421109916,1.0302963150608502,179.05029302183902,179.05030617117882,602.247753146461,602.247753146461,179.99994291261828,f,1,0.9034746888100926,None,180.00044515329864,180.00048620489906,180.00050320282753,180.00096920263968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,freq_top,0,14,14,29,,,,,,,,,,,,180.00145155895007,180.24958924345628,180.24960239279608,1.0671515486766685,181.3227743056741,181.32278745501753,604.5208020969694,604.5208020969694,184.33670843774235,None,1,,,184.33711318086716,184.33715327032405,184.3371628917921,184.33822670554218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,168,180,90,0,180,0,168,0,0,f,present,resp,freq_top,0,15,15,48,,,,,,,,,,,,184.33870745827517,184.5624553603957,184.56246915116571,0.7485060681470251,185.3113180225846,185.31133149264133,608.5091216336514,608.5091216336514,186.24464605341927,f,1,0.898771073349053,None,186.24515567056005,186.24519672216047,186.24520538148136,186.24558029805485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,freq_top,0,16,16,26,,,,,,,,,,,,186.24607259655022,186.48552498102435,186.48553813036415,1.082785921967297,187.56746012783333,187.56747327717312,610.7655267257142,610.7655267257142,190.5814519887099,None,1,,,190.581831074589,190.58187180547247,190.58188174765746,190.58323741263303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,17,17,31,,,,,,,,,,,,190.58375440623422,191.11574081943763,191.11575461020766,0.9225238035968577,192.03867862594052,192.03869209599725,615.2367259808852,615.2367259808852,195.0526166065938,None,1,,,195.0539581600824,195.05400113597716,195.05401107816215,195.05462621074184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,freq_top,0,18,18,3,,,,,,,,,,,,195.05511145349374,195.3362748302061,195.33628862097976,0.9896372607405817,196.32730024467674,196.3273130732996,619.5247581242911,619.5247581242911,197.29376461461288,j,1,0.9220226359539083,None,197.29427615604436,197.29431720764478,197.2943258669693,197.29480084681927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
