ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,79.66697095973268,,,,,,,,,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,pract,0,0,0,1,,,,,,,0.9151185744355461,195.47308485925623,None,195.47308485925623,None,j,1,1.084576261082475,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,pract,0,1,1,27,,,,,,,0.9871720300898253,197.791447427202,None,197.791447427202,None,None,1,,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,pract,0,2,2,24,,,,,,,0.8281421665487901,201.9924161658073,None,201.9924161658073,None,None,1,,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,pract,0,3,3,4,,,,,,,0.8455954545889668,206.03996265584283,None,206.03996265584283,None,j,1,1.4284048160216116,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
180,270,180,12,180,180,180,180,12,180,j,present,resp,pract,0,4,4,35,,,,,,,0.8393906893180804,208.68755780315496,None,208.68755780315496,None,j,1,1.468581177519809,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
0,0,180,0,0,0,168,0,180,168,f,abs,resp,pract,0,5,5,15,,,,,,,0.972455431138119,211.42922086781437,None,211.42922086781437,None,f,1,1.0143301856596736,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
0,0,0,-168,0,0,0,12,0,0,None,abs,inhibit,pract,0,6,6,23,,,,,,,0.9607053873657793,213.77079011931346,None,213.77079011931346,None,None,1,,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
168,0,270,180,180,180,180,168,180,180,f,present,resp,pract,0,7,7,49,,,,,,,1.075304527177895,217.89037533716055,None,217.89037533716055,None,f,1,1.384060288697583,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
180,270,0,0,0,0,0,168,0,168,f,present,resp,pract,0,8,8,43,,,,,,,0.9834332051013548,220.85638346039013,None,220.85638346039013,None,f,1,1.2499989274047039,,,,,,,,,,,,013,001,1,28,m,2021_Nov_10_1137,eye_tracking_exp,2021.2.3,84.84868973737237,
