ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,19.465401990491046,,,,,,,,,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
180,270,0,0,168,0,0,168,180,0,f,present,resp,pract,0,0,0,45,,,,,,,1.039297357456603,144.6386912043963,None,144.6386912043963,None,f,1,2.134093143573409,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
90,0,180,180,180,168,0,168,0,0,f,present,resp,pract,0,1,1,44,,,,,,,0.7599537597003835,147.841080985796,None,147.841080985796,None,f,1,1.8753389075309315,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,pract,0,2,2,2,,,,,,,0.906661624647388,150.93472834845488,None,150.93472834845488,None,j,1,1.6129579823164022,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,pract,0,3,3,31,,,,,,,0.8484707956203748,153.64074859211178,None,153.64074859211178,None,None,1,,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
12,0,0,12,0,0,90,180,180,0,j,present,resp,pract,0,4,4,38,,,,,,,0.8600754793806417,157.51233149780364,None,157.51233149780364,None,j,1,1.627143875868569,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
90,0,180,168,180,180,0,168,0,0,f,present,resp,pract,0,5,5,46,,,,,,,1.084321739852396,160.58395219471277,None,160.58395219471277,None,f,1,1.7555830049923316,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
90,0,0,12,0,12,180,180,180,0,j,present,resp,pract,0,6,6,32,,,,,,,1.028255745912346,163.6222909627977,None,163.6222909627977,None,j,1,1.2292313275238484,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
0,270,0,0,12,0,0,12,0,0,j,present,resp,pract,0,7,7,40,,,,,,,0.9346502462457765,166.0800286392232,None,166.0800286392232,None,j,1,1.3475978292917716,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
180,270,180,12,180,180,180,180,12,180,j,present,resp,pract,0,8,8,35,,,,,,,0.9853719049074986,168.6804948717745,None,168.6804948717745,None,j,1,1.4660844660820658,,,,,,,,,,,,010,001,1,33,m,2021_Nov_09_1137,eye_tracking_exp,2021.2.3,84.87751076007592,
