ori16,ori17,ori18,ori19,ori20,ori10,ori11,ori12,ori13,ori14,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,fixdur,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,4.38478464524087,,,,,,,,,,,,,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
,,,,,,,,,,,,,,,,,,,,,,,,space,7.242509811476339,,,,,,,,,,,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
-12,0,0,180,90,180,12,0,180,0,j,present,resp,freq_bottom,,,,,0,0,0,711,,,,,0.9285634554802406,126.93508956905134,None,126.93508956905134,None,f,0,2.9139886493139784,129.87909363314247,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
0,-168,180,180,0,180,0,-168,0,0,f,abs,resp,freq_bottom,,,,,0,1,1,313,,,,,0.8374959365497283,131.26533639971603,None,131.26533639971603,None,f,1,1.5117750727076782,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
0,12,180,180,180,180,0,180,0,12,j,abs,resp,freq_bottom,,,,,0,2,2,48,,,,,1.043270233706179,134.2895455639009,None,134.2895455639009,None,j,1,1.991679954175197,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
90,180,12,180,180,180,-12,0,180,0,j,present,resp,freq_bottom,,,,,0,3,3,669,,,,,1.0355832930428477,137.63121072384092,None,137.63121072384092,None,None,0,,140.60886607852444,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
90,0,12,0,12,180,180,180,180,180,j,present,resp,freq_bottom,,,,,0,4,4,515,,,,,0.9047470492369376,142.126652960731,None,142.126652960731,None,j,1,1.9616991426955792,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
0,90,0,-168,180,180,180,-168,0,0,f,present,resp,freq_bottom,,,,,0,5,5,786,,,,,0.9193062719875043,145.33899621451565,None,145.33899621451565,None,f,1,0.9254371634524432,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
0,0,0,180,0,-168,0,-168,0,0,f,abs,resp,freq_bottom,,,,,0,6,6,309,,,,,1.007640929271405,147.73900146668166,None,147.73900146668166,None,f,1,1.3093988600667217,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
90,180,180,180,-168,180,-168,180,180,0,f,present,resp,freq_bottom,,,,,0,7,7,807,,,,,0.9912603493783317,153.76333801098372,None,153.76333801098372,None,f,1,1.125167069316376,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
180,0,0,-12,0,180,0,180,0,-12,j,abs,resp,freq_bottom,,,,,0,8,8,116,,,,,0.8319312598864088,156.30503190690797,None,156.30503190690797,None,j,1,1.2707528804967296,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
90,0,0,12,0,12,180,180,180,0,j,present,resp,freq_bottom,,,,,0,9,9,504,,,,,0.7993510803984156,158.6583743822339,None,158.6583743822339,None,j,1,0.9012928967204061,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
180,0,168,180,168,0,180,180,0,180,f,abs,resp,freq_bottom,,,,,0,10,10,221,,,,,1.0700752318566695,161.35344419830653,None,161.35344419830653,None,j,0,1.5822220108966576,162.9544259910981,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
0,12,0,90,180,180,168,0,0,0,None,present,inhibit,freq_bottom,,,,,0,11,11,950,,,,,1.0551264131420208,164.5544328128817,None,164.5544328128817,None,None,1,,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
180,270,0,180,0,180,0,-168,0,-168,f,present,resp,freq_bottom,,,,,0,12,12,826,,,,,0.8719312137670543,168.43981998956588,None,168.43981998956588,None,f,1,1.776160347450059,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
0,0,0,168,0,0,-168,0,0,0,f,abs,resp,freq_bottom,,,,,0,13,13,374,,,,,0.9352834203801794,171.6276893579343,None,171.6276893579343,None,f,1,1.4991801375508658,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
-12,0,0,12,0,270,0,0,0,0,j,present,resp,freq_bottom,,,,,0,14,14,650,,,,,1.0236720323071253,174.4987655901059,None,174.4987655901059,None,j,1,1.620131781703094,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
180,180,0,0,270,168,180,180,168,180,f,present,resp,freq_bottom,,,,,0,15,15,750,,,,,1.0661947275320898,177.4992096094138,None,177.4992096094138,None,f,1,1.275734589980857,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
12,0,12,180,180,0,180,180,0,180,j,abs,resp,freq_bottom,,,,,0,16,16,63,,,,,0.9415079391464625,180.229268810981,None,180.229268810981,None,j,1,1.4897449536510976,None,None,002,001,2,28,f,2021_Nov_06_1955,eye_tracking_exp,2021.2.3,85.06988329469462,
