ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,134.26985738222174,,,,,,,,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,pract,0,0,0,19,,,,,,,1.0811971736113186,1599.5008018584158,None,1599.5008018584158,None,f,1,2.5204118009842205,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,pract,0,1,1,13,,,,,,,0.8061363746510081,1603.0908389524793,None,1603.0908389524793,None,f,1,1.4426208190452599,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,pract,0,2,2,18,,,,,,,0.8439782872960554,1605.7025302987167,None,1605.7025302987167,None,f,1,0.8464326725461433,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,270,0,0,0,0,0,168,0,168,f,present,resp,pract,0,3,3,43,,,,,,,0.8870406726178763,1607.4792466122872,None,1607.4792466122872,None,f,1,1.6137763131719112,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,168,180,90,0,180,0,168,0,0,f,present,resp,pract,0,4,4,48,,,,,,,0.9374814003827563,1610.2095604825827,None,1610.2095604825827,None,f,1,1.1385611787700327,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,270,0,0,168,0,0,168,180,0,f,present,resp,pract,0,5,5,45,,,,,,,1.0553881933580669,1612.5274891191457,None,1612.5274891191457,None,f,1,1.3805923240197444,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,pract,0,6,6,30,,,,,,,0.7590097856755521,1614.727705604315,None,1614.727705604315,None,None,1,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
90,0,0,12,0,0,0,12,0,0,j,present,resp,pract,0,7,7,34,,,,,,,0.9970641662444466,1618.740338836118,None,1618.740338836118,None,None,0,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,pract,0,8,8,9,,,,,,,0.9404878170340081,1623.2358671133607,None,1623.2358671133607,None,j,1,0.9284848384668294,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,270,0,0,12,0,180,180,180,12,j,present,resp,pract,0,9,9,42,,,,,,,0.8758761198571854,1625.3302343636096,None,1625.3302343636096,None,j,1,1.2980584091656056,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
90,0,0,12,0,180,180,180,0,12,j,present,resp,pract,0,10,10,36,,,,,,,0.8197443085202236,1627.5658406805578,None,1627.5658406805578,None,j,1,2.757477853410819,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
168,0,270,180,180,180,180,168,180,180,f,present,resp,pract,0,11,11,49,,,,,,,0.8197208305086248,1631.202688919684,None,1631.202688919684,None,f,1,1.8406773424430867,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,pract,0,12,12,16,,,,,,,0.9693109412555172,1635.7099690334453,None,1635.7099690334453,None,f,1,1.8934415278508823,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,0,180,0,0,0,168,0,180,168,f,abs,resp,pract,0,13,13,15,,,,,,,0.8767161320837362,1638.5337859640222,None,1638.5337859640222,None,f,1,1.3736646174493217,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,pract,0,14,14,0,,,,,,,0.8231103192046043,1641.169597658145,None,1641.169597658145,None,j,1,1.616962315649289,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,0,90,180,12,0,180,180,12,180,j,present,resp,pract,0,15,15,41,,,,,,,0.9670030432039802,1643.9968761781493,None,1643.9968761781493,None,j,1,1.3186555906941066,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,pract,0,16,16,17,,,,,,,1.07005429058431,1646.4429101861224,None,1646.4429101861224,None,f,1,1.239661443822115,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,pract,0,17,17,22,,,,,,,0.8254067069755573,1648.7384595323347,None,1648.7384595323347,None,None,1,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,0,0,-168,0,0,0,12,0,0,None,abs,inhibit,pract,0,18,18,23,,,,,,,0.945804287337544,1653.4103199917663,None,1653.4103199917663,None,None,1,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,pract,0,19,19,28,,,,,,,0.7199369416989403,1657.1765006132027,None,1657.1765006132027,None,None,1,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,180,0,0,180,0,180,168,0,168,f,abs,resp,pract,0,20,20,14,,,,,,,0.9824581410485246,1661.1679613417618,None,1661.1679613417618,None,f,1,0.9138165494714485,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
90,0,0,12,0,12,180,180,180,0,j,present,resp,pract,0,21,21,32,,,,,,,0.9391464310926382,1663.2146288073181,None,1663.2146288073181,None,j,1,1.4753571076889784,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,pract,0,22,22,8,,,,,,,0.9286497333960809,1665.885881949176,None,1665.885881949176,None,j,1,0.8999931321868644,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,pract,0,23,23,4,,,,,,,0.840456428110226,1667.7669132058072,None,1667.7669132058072,None,j,1,0.9710275551988161,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,pract,0,24,24,31,,,,,,,0.8764838040056084,1669.8967128483582,None,1669.8967128483582,None,None,1,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,pract,0,25,25,11,,,,,,,0.717077149149416,1673.968137258602,None,1673.968137258602,None,f,1,1.1688268439866079,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
90,0,180,180,180,168,0,168,0,0,f,present,resp,pract,0,26,26,44,,,,,,,0.9214218674343703,1676.3584248258867,None,1676.3584248258867,None,f,1,1.2585984629986342,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,pract,0,27,27,25,,,,,,,0.9610323383305521,1679.0526793662048,None,1679.0526793662048,None,None,1,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,pract,0,28,28,1,,,,,,,0.7738676256869411,1683.0882865283256,None,1683.0882865283256,None,j,1,1.280889613819454,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,pract,0,29,29,6,,,,,,,0.9825661700010383,1685.6062571820894,None,1685.6062571820894,None,j,1,0.874892382969847,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,0,180,0,12,0,12,180,180,180,j,abs,resp,pract,0,30,30,7,,,,,,,0.798780249123407,1687.5594898049421,None,1687.5594898049421,None,j,1,1.5457917593230377,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,pract,0,31,31,24,,,,,,,1.0193778678268903,1702.24309425285,None,1702.24309425285,None,None,1,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,pract,0,32,32,26,,,,,,,1.0881876338017313,1706.3396188086135,None,1706.3396188086135,None,None,1,,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,pract,0,33,33,3,,,,,,,0.7382334180458994,1710.105041188628,None,1710.105041188628,None,j,1,0.9184930758929113,,,,,,,,,,,,004,001,2,26,m,2021_Nov_08_1130,eye_tracking_exp,2021.2.3,85.01011008160881,
