ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,text_7.started,text_7.stopped,response.rt,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,1.3260780380842334,,,,,,,,,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,pract,0,0,0,31,,,,,,,0.996381260415695,484.824999215205,None,484.824999215205,None,None,1,,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
0,0,180,0,0,0,168,0,180,168,f,abs,resp,pract,0,1,1,15,,,,,,,0.9189938177903234,489.04959601179144,None,489.04959601179144,None,None,0,,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,pract,0,2,2,26,,,,,,,0.8085555770417251,493.3680307204886,None,493.3680307204886,None,None,1,,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,pract,0,3,3,5,,,,,,,0.881813604610002,497.68684816756286,None,497.68684816756286,None,f,0,1.8473342047582264,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,pract,0,4,4,21,,,,,,,1.0113617617425683,501.0878206490379,None,501.0878206490379,None,None,1,,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
0,270,0,0,12,0,0,12,0,0,j,present,resp,pract,0,5,5,40,,,,,,,0.7511938372520435,505.3834410715717,None,505.3834410715717,None,j,1,1.7827338222596154,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
0,168,180,90,0,180,0,168,0,0,f,present,resp,pract,0,6,6,48,,,,,,,1.0980875083804684,508.5591762431759,None,508.5591762431759,None,f,1,2.2391861634860106,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,pract,0,7,7,22,,,,,,,1.031251313547477,512.1007317305812,None,512.1007317305812,None,None,1,,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,pract,0,8,8,8,,,,,,,0.7717976345187398,516.8899527553549,None,516.8899527553549,None,None,0,,,,,,,,,,,,,015,001,2,28,f,2021_Nov_10_1439,eye_tracking_exp,2021.2.3,84.98995656917724,
