ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,fixdur,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,1.8287501151353354,,,,,,,,,,,,,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
,,,,,,,,,,,,,,,,,,,,,,,,space,4.48851915938576,,,,,,,,,,,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
12,0,0,0,270,180,12,180,180,180,j,present,resp,freq_top,,,,,0,0,0,571,,,,,1.0508820602317301,92.05091778302449,None,92.05091778302449,None,j,1,0.846177593961329,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
168,180,90,180,-168,180,180,180,180,180,f,present,resp,freq_top,,,,,0,1,1,867,,,,,1.0199603438021625,94.02705370383774,None,94.02705370383774,None,j,0,0.18200338437236496,94.24011290311319,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,-168,0,0,0,0,0,-168,f,abs,resp,freq_top,,,,,0,2,2,284,,,,,0.709835108876299,95.49805504434335,None,95.49805504434335,None,f,1,1.1751496304896136,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,-168,180,90,180,180,0,180,0,-168,f,present,resp,freq_top,,,,,0,3,3,832,,,,,0.8799795318795312,97.85117459504909,None,97.85117459504909,None,f,1,0.982003324003017,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,168,0,180,180,180,0,-168,f,abs,resp,freq_top,,,,,0,4,4,354,,,,,0.8828594064760608,100.06351117093072,None,100.06351117093072,None,f,1,0.8177408239644137,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
168,180,180,168,0,180,180,180,180,90,f,present,resp,freq_top,,,,,0,5,5,778,,,,,0.890586145030672,102.0285647534256,None,102.0285647534256,None,f,1,1.1886962534335908,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,0,0,168,0,168,0,0,f,abs,resp,freq_top,,,,,0,6,6,224,,,,,1.017802069226344,104.5111606677965,None,104.5111606677965,None,f,1,0.9141060041401943,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,180,0,180,-12,180,12,180,180,180,j,abs,resp,freq_top,,,,,0,7,7,147,,,,,0.9808090094527929,106.70162415191953,None,106.70162415191953,None,j,1,1.3627582390654425,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
