ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,fixdur,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
0,0,90,0,0,0,12,0,180,12,j,present,resp,freq_top,,,,,0,8,8,547,,,,,1.0163803431905878,109.3947389153218,None,109.3947389153218,None,j,1,1.070606490568025,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,-12,180,270,180,-12,180,180,0,180,j,present,resp,freq_top,,,,,0,9,9,593,,,,,1.0941930944812746,111.80685188242933,None,111.80685188242933,None,j,1,2.673848515976715,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
12,180,90,180,12,180,180,180,0,180,j,present,resp,freq_top,,,,,0,10,10,517,,,,,1.0114134989364225,115.81936799732284,None,115.81936799732284,None,None,0,,118.79678646901084,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,-12,0,0,0,-12,0,0,j,abs,resp,freq_top,,,,,0,11,11,72,,,,,0.8929684252491179,120.22174003729015,None,120.22174003729015,None,j,1,1.1227585288361297,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,180,180,12,0,0,0,-12,0,j,abs,resp,freq_top,,,,,0,12,12,177,,,,,1.0279927926039993,122.67943230899255,None,122.67943230899255,None,j,1,1.080178986685496,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,180,0,180,180,-12,0,-12,0,j,abs,resp,freq_top,,,,,0,13,13,105,,,,,0.8374522150827827,124.86775176890296,None,124.86775176890296,None,j,1,0.955847617075051,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
-12,0,0,180,0,180,-12,180,180,180,j,abs,resp,freq_top,,,,,0,14,14,137,,,,,1.001634135604319,127.15032649356363,None,127.15032649356363,None,j,1,0.5773085659820936,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,-168,0,168,0,0,0,0,0,f,abs,resp,freq_top,,,,,0,15,15,399,,,,,0.7582076014544195,128.80918848547662,None,128.80918848547662,None,f,1,1.9115502596614533,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,freq_top,,,,,0,16,16,248,,,,,0.7736408257955596,131.86999751579424,None,131.86999751579424,None,f,1,0.9617251954950916,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,90,0,12,180,180,180,180,-12,0,j,present,resp,freq_top,,,,,0,17,17,682,,,,,0.7164612080935187,133.81108197609865,None,133.81108197609865,None,j,1,0.9886690267667291,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,0,12,0,180,180,180,12,180,180,j,abs,resp,freq_top,,,,,0,18,18,32,,,,,0.8783266582073039,136.21149049677842,None,136.21149049677842,None,j,1,1.213663585964241,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,168,0,168,0,0,0,0,f,abs,resp,freq_top,,,,,0,19,19,210,,,,,1.0758832422323672,138.84738067130456,None,138.84738067130456,None,f,1,1.1994894216513785,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,180,-12,0,270,-12,180,0,180,0,j,present,resp,freq_top,,,,,0,20,20,624,,,,,1.06314235847745,141.38915624210495,None,141.38915624210495,None,j,1,1.1377036121775745,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,180,0,-168,0,0,0,-168,0,f,abs,resp,freq_top,,,,,0,21,21,317,,,,,1.0071391171542008,143.89534306349378,None,143.89534306349378,None,f,1,0.6635386059242592,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,180,0,180,180,180,168,180,168,180,f,abs,resp,freq_top,,,,,0,22,22,231,,,,,0.7777892113673255,145.64835406976636,None,145.64835406976636,None,f,1,0.8305243759168661,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,180,12,0,0,0,12,0,j,abs,resp,freq_top,,,,,0,23,23,37,,,,,0.8763568857721459,147.67217770136267,None,147.67217770136267,None,j,1,0.6146782168252685,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,0,0,0,12,180,180,12,180,j,abs,resp,freq_top,,,,,0,24,24,36,,,,,0.8662208785570502,149.41386972071996,None,149.41386972071996,None,j,1,0.6014349508186569,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
90,180,0,180,0,180,180,-168,0,168,f,present,resp,freq_top,,,,,0,25,25,896,,,,,0.7994206420388333,151.0981605702982,None,151.0981605702982,None,f,1,1.0128020522606676,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
168,0,0,90,0,180,180,180,12,180,None,present,inhibit,freq_top,,,,,0,26,26,993,,,,,0.8959922379619099,153.27312236392754,None,153.27312236392754,None,j,0,1.2530429387952609,154.54504246846045,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
12,0,0,180,0,180,-12,180,0,180,j,abs,resp,freq_top,,,,,0,27,27,167,,,,,0.7095054758620832,155.7911965514504,None,155.7911965514504,None,j,1,0.6233608659240417,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,-168,0,90,0,180,180,-168,0,f,present,resp,freq_top,,,,,0,28,28,823,,,,,0.9752824971264384,157.66212647478824,None,157.66212647478824,None,f,1,0.7201235795255343,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
90,0,-12,180,180,180,180,0,180,12,j,present,resp,freq_top,,,,,0,29,29,691,,,,,0.8697109647689101,159.52163387745532,None,159.52163387745532,None,f,0,0.732459793187445,160.28691680383054,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,180,-168,180,-168,0,180,0,180,f,abs,resp,freq_top,,,,,0,30,30,297,,,,,0.9853480947858745,161.86345677797362,None,161.86345677797362,None,f,1,0.838615403525182,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,0,168,180,180,180,180,0,12,0,None,abs,inhibit,freq_top,,,,,0,31,31,473,,,,,0.9536867739710122,163.89907420292002,None,163.89907420292002,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
270,0,168,180,180,180,12,0,0,0,None,present,inhibit,freq_top,,,,,0,32,32,975,,,,,0.8178760175784969,168.0305261597823,None,168.0305261597823,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
12,0,180,0,-12,180,180,0,180,180,j,abs,resp,freq_top,,,,,0,33,33,153,,,,,0.7244594685448638,171.97240538508413,None,171.97240538508413,None,j,1,1.7528188168798806,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,-12,0,0,0,0,0,180,12,j,abs,resp,freq_top,,,,,0,34,34,187,,,,,0.7275662577891588,174.76127438891854,None,174.76127438891854,None,j,1,1.0760159032070078,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,90,0,180,180,-168,180,180,0,-168,f,present,resp,freq_top,,,,,0,35,35,828,,,,,1.0000492276067203,177.12655538346735,None,177.12655538346735,None,f,1,0.9827648857535678,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,12,180,-12,0,180,0,180,180,j,abs,resp,freq_top,,,,,0,36,36,151,,,,,0.9989425303626311,179.37607355907676,None,179.37607355907676,None,j,1,1.9182796522909484,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,90,180,-12,180,-12,180,180,180,j,present,resp,freq_top,,,,,0,37,37,581,,,,,0.9085805495886896,182.62180173496017,None,182.62180173496017,None,j,1,1.8076210779618123,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,-168,0,0,0,-168,0,0,f,abs,resp,freq_top,,,,,0,38,38,282,,,,,1.0556135773889197,185.78697430581815,None,185.78697430581815,None,f,1,1.9054761783881986,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,-168,180,0,90,-168,180,180,0,0,f,present,resp,freq_top,,,,,0,39,39,803,,,,,0.9179475787554434,188.89355552141205,None,188.89355552141205,None,f,1,2.4632351886175456,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,90,0,168,180,180,180,168,0,0,f,present,resp,freq_top,,,,,0,40,40,716,,,,,0.7118521584285473,192.61250633503005,None,192.61250633503005,None,f,1,2.1680480596442067,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,-168,0,0,0,12,0,180,0,0,None,abs,inhibit,freq_top,,,,,0,41,41,478,,,,,0.890288186349099,195.95530631655492,None,195.95530631655492,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
168,180,270,180,180,12,0,0,0,0,None,present,inhibit,freq_top,,,,,0,42,42,990,,,,,1.072508807828727,201.42686305682946,None,201.42686305682946,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
-168,0,0,180,-168,180,180,0,180,0,f,abs,resp,freq_top,,,,,0,43,43,345,,,,,0.8326268156834125,205.6864738121476,None,205.6864738121476,None,f,1,0.773283789112611,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,0,180,180,12,180,180,0,-168,None,abs,inhibit,freq_top,,,,,0,44,44,464,,,,,1.051642319103232,207.79272450451026,None,207.79272450451026,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,freq_top,,,,,0,45,45,424,,,,,1.0687152410547458,212.1231864612855,None,212.1231864612855,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,168,0,270,180,180,180,180,0,-168,f,present,resp,freq_top,,,,,0,46,46,916,,,,,0.8147991610110672,216.27719398755653,None,216.27719398755653,None,f,1,0.9656950964490534,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,90,180,-12,0,12,0,0,180,j,present,resp,freq_top,,,,,0,47,47,651,,,,,0.7242125180009638,218.36153929045759,None,218.36153929045759,None,None,0,,221.35118561248964,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,180,0,180,-12,0,-12,0,0,j,abs,resp,freq_top,,,,,0,48,48,99,,,,,0.8595682957257785,222.7620715686935,None,222.7620715686935,None,j,1,1.2488695924912463,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,freq_top,,,,,0,49,49,258,,,,,0.8703923703910195,225.02136206359864,None,225.02136206359864,None,f,1,1.4373595963552361,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
-168,0,0,168,0,0,0,0,0,0,f,abs,resp,freq_top,,,,,0,50,50,356,,,,,0.9872100347156589,227.71663896207974,None,227.71663896207974,None,f,1,2.4064325828258006,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
168,0,180,0,0,0,0,270,-168,0,f,present,resp,freq_top,,,,,0,51,51,895,,,,,0.8452566191630622,231.25993403420216,None,231.25993403420216,None,f,1,1.75904684048146,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,270,0,12,0,-12,180,180,180,180,j,present,resp,freq_top,,,,,0,52,52,644,,,,,1.0885221959044011,234.3881245266639,None,234.3881245266639,None,j,1,2.246162622319389,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,-168,0,0,168,0,0,0,0,f,abs,resp,freq_top,,,,,0,53,53,368,,,,,0.8250530416646614,237.71766041469527,None,237.71766041469527,None,f,1,1.300581234969286,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
-12,180,0,0,0,12,0,0,0,0,j,abs,resp,freq_top,,,,,0,54,54,206,,,,,0.7797246853404142,240.14151676658366,None,240.14151676658366,None,j,1,2.220371245563001,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,-12,180,0,180,0,-12,0,180,180,j,abs,resp,freq_top,,,,,0,55,55,129,,,,,0.7664067799863765,243.40077285085135,None,243.40077285085135,None,j,1,1.1054596371359366,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,12,180,0,180,12,0,180,0,180,j,abs,resp,freq_top,,,,,0,56,56,19,,,,,0.9816558230367232,245.76605293985995,None,245.76605293985995,None,j,1,0.8682782788855548,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,0,0,0,12,180,180,-12,180,j,abs,resp,freq_top,,,,,0,57,57,176,,,,,0.7550462027926944,247.5432455691007,None,247.5432455691007,None,j,1,1.9221097977642785,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,-168,180,180,180,168,180,0,180,180,f,abs,resp,freq_top,,,,,0,58,58,369,,,,,0.742653854080526,250.4728172562718,None,250.4728172562718,None,f,1,0.7365365482291963,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
168,0,168,180,90,180,0,0,180,180,f,present,resp,freq_top,,,,,0,59,59,777,,,,,0.9826012614205606,252.49680479116796,None,252.49680479116796,None,f,1,1.0645954954634362,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,0,12,180,0,180,0,168,0,None,abs,inhibit,freq_top,,,,,0,60,60,458,,,,,0.8684972770521796,254.68508833119995,None,254.68508833119995,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
270,0,180,-168,180,180,180,-168,0,0,f,present,resp,freq_top,,,,,0,61,61,815,,,,,1.0576070995778784,259.18107239847086,None,259.18107239847086,None,f,1,1.2924461375987448,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,180,0,-168,0,180,0,180,0,-168,f,abs,resp,freq_top,,,,,0,62,62,326,,,,,0.7989263946773161,262.0296495940602,None,262.0296495940602,None,f,1,0.7319768368652149,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,-168,0,180,0,180,-168,0,180,180,f,abs,resp,freq_top,,,,,0,63,63,339,,,,,0.8044172781599173,263.8053178924165,None,263.8053178924165,None,f,1,0.7152623223082628,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,-168,0,90,0,180,180,180,180,12,None,present,inhibit,freq_top,,,,,0,64,64,986,,,,,0.9932693721246575,265.8644519698428,None,265.8644519698428,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
-168,0,90,180,-168,0,180,0,180,180,f,present,resp,freq_top,,,,,0,65,65,849,,,,,1.0945622591423678,270.4542536227018,None,270.4542536227018,None,f,1,2.0665502611700504,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,0,180,0,180,168,180,180,-168,180,f,abs,resp,freq_top,,,,,0,66,66,365,,,,,0.7686084881917506,273.60788263195354,None,273.60788263195354,None,f,1,1.1848383379765437,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
-12,0,-12,180,270,180,0,180,0,180,j,present,resp,freq_top,,,,,0,67,67,637,,,,,0.8309725699779353,275.93766482771025,None,275.93766482771025,None,j,1,2.0071692723249726,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,270,0,0,0,0,0,168,0,168,f,present,resp,freq_top,,,,,0,68,68,742,,,,,0.7297921358546703,278.9858188931903,None,278.9858188931903,None,f,1,1.1979807868447097,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
270,0,0,0,168,180,180,180,180,12,None,present,inhibit,freq_top,,,,,0,69,69,1004,,,,,0.8955712201603785,281.37461503098893,None,281.37461503098893,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,12,180,0,180,180,-12,0,180,180,j,abs,resp,freq_top,,,,,0,70,70,199,,,,,0.7790084276757628,285.4111216992569,None,285.4111216992569,None,j,1,0.7247518103140465,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,12,0,12,180,90,180,180,0,0,j,present,resp,freq_top,,,,,0,71,71,560,,,,,0.76332150061804,287.3999364308729,None,287.3999364308729,None,j,1,1.5039810059861338,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,12,0,0,0,180,180,180,0,12,j,abs,resp,freq_top,,,,,0,72,72,62,,,,,0.8453848214201019,290.0942736774632,None,290.0942736774632,None,j,1,1.8019095157724223,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
90,0,0,168,0,0,168,180,180,180,f,present,resp,freq_top,,,,,0,73,73,738,,,,,0.7900397709984467,292.97895729126685,None,292.97895729126685,None,f,1,1.940123162974487,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,0,0,12,180,180,180,180,12,j,abs,resp,freq_top,,,,,0,74,74,10,,,,,0.715560031954235,295.9192460810373,None,295.9192460810373,None,j,1,0.9677512829839543,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
168,180,0,180,0,0,180,12,0,0,None,abs,inhibit,freq_top,,,,,0,75,75,488,,,,,0.9497916896715128,298.09613879440076,None,298.09613879440076,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
168,180,90,180,168,180,0,0,180,180,f,present,resp,freq_top,,,,,0,76,76,727,,,,,0.7903365085086058,302.1208468397599,None,302.1208468397599,None,f,1,2.7823437478400592,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,-168,180,180,0,180,0,-168,0,0,f,abs,resp,freq_top,,,,,0,77,77,313,,,,,1.0269425919687198,306.46365678225993,None,306.46365678225993,None,f,1,0.7275294128521637,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,-12,0,0,-12,180,180,180,180,j,abs,resp,freq_top,,,,,0,78,78,88,,,,,1.0183645615735222,308.5458236503109,None,308.5458236503109,None,j,1,1.1253843019840133,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,-12,180,12,180,0,180,0,180,180,j,abs,resp,freq_top,,,,,0,79,79,145,,,,,0.7231294890197448,310.75802469657356,None,310.75802469657356,None,j,1,1.3289923479169374,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,90,0,168,180,0,180,0,0,168,f,present,resp,freq_top,,,,,0,80,80,760,,,,,0.9019804601561214,313.36994031565337,None,313.36994031565337,None,f,1,1.5819582279582391,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,0,168,0,0,0,12,0,0,0,None,abs,inhibit,freq_top,,,,,0,81,81,471,,,,,0.9032477954203957,315.92345776199727,None,315.92345776199727,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
12,0,12,180,180,0,180,180,0,180,j,abs,resp,freq_top,,,,,0,82,82,63,,,,,1.0939064325559649,320.2653048103348,None,320.2653048103348,None,j,1,0.7330613756530511,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,90,168,0,0,168,0,0,180,180,f,present,resp,freq_top,,,,,0,83,83,732,,,,,1.0641038875388058,323.0195473552267,None,323.0195473552267,None,f,1,0.8748721418960486,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,90,0,0,180,180,168,0,-168,f,present,resp,freq_top,,,,,0,84,84,882,,,,,1.0589296241900161,325.28931407826894,None,325.28931407826894,None,f,1,0.988271493348293,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,90,0,12,0,0,0,180,-168,None,present,inhibit,freq_top,,,,,0,85,85,969,,,,,0.8791435229755022,327.47771322596964,None,327.47771322596964,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,12,0,90,180,180,168,0,0,0,None,present,inhibit,freq_top,,,,,0,86,86,950,,,,,1.0779421458998801,331.8554300439282,None,331.8554300439282,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,270,0,180,180,180,180,12,0,-168,None,present,inhibit,freq_top,,,,,0,87,87,966,,,,,0.8184967487719703,335.9653170955353,None,335.9653170955353,None,None,1,,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
-168,180,90,0,0,180,180,168,0,0,f,present,resp,freq_top,,,,,0,88,88,922,,,,,0.9061266289686949,340.22364831845334,None,340.22364831845334,None,f,1,1.253065275530389,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,180,0,180,180,168,180,180,168,180,f,abs,resp,freq_top,,,,,0,89,89,225,,,,,1.0246820048728102,342.7774609718472,None,342.7774609718472,None,f,1,0.8433015890732349,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
180,180,12,180,12,180,0,180,0,180,j,abs,resp,freq_top,,,,,0,90,90,11,,,,,0.8778437132187594,345.05943592512995,None,345.05943592512995,None,j,1,0.8652791201348009,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
12,180,180,90,0,12,0,0,180,180,j,present,resp,freq_top,,,,,0,91,91,570,,,,,0.9419812124193947,347.64800181350074,None,347.64800181350074,None,j,1,0.7888171736194636,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
0,0,180,180,-168,0,0,0,180,168,f,abs,resp,freq_top,,,,,0,92,92,395,,,,,1.0400849745861165,349.7662108062068,None,349.7662108062068,None,f,1,0.6865662651362072,None,None,006,001,1,33,F,2021_Nov_08_1505,eye_tracking_exp,2021.2.3,85.81383722873142,
