ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,1.2563552059255017,,,,,,,,,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,pract,0,0,0,1,,,,,,,1.05071761504351,31.85306838752149,None,31.85306838752149,None,j,1,1.6139740984472155,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
180,270,0,0,0,0,0,168,0,168,f,present,resp,pract,0,1,1,43,,,,,,,0.8770276423806587,34.66571212362396,None,34.66571212362396,None,f,1,1.5373739056922204,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,pract,0,2,2,3,,,,,,,0.9403948193538261,37.85457189091903,None,37.85457189091903,None,None,0,,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,pract,0,3,3,13,,,,,,,1.0783317832515182,42.45586850789914,None,42.45586850789914,None,f,1,2.354751217426383,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
90,0,0,12,0,180,180,180,0,12,j,present,resp,pract,0,4,4,36,,,,,,,1.026114077385392,46.66830710830254,None,46.66830710830254,None,j,1,1.597969529680995,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
90,0,180,180,180,168,0,168,0,0,f,present,resp,pract,0,5,5,44,,,,,,,0.9487819853886529,49.5747901630275,None,49.5747901630275,None,f,1,1.5556462562271918,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
12,0,0,12,0,0,90,180,180,0,j,present,resp,pract,0,6,6,38,,,,,,,0.8970334973634881,52.540862783356715,None,52.540862783356715,None,j,1,2.5895310753694503,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,pract,0,7,7,5,,,,,,,1.0438692217945649,57.07134502429835,None,57.07134502429835,None,j,1,1.0661528200580506,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,pract,0,8,8,27,,,,,,,0.8307104264030907,59.872003595610295,None,59.872003595610295,None,None,1,,,,,,,,,,,,,007,001,1,26,m,2021_Nov_08_1616,eye_tracking_exp,2021.2.3,85.92111064486808,
