"","dist_region","dist_present","m_rt","se_rt","ci_rt"
"1","Absent","Absent",1076.4929091544,12.4962246925977,26.8017363699133
"2","Freq.","Present",1187.21524194178,7.22792251030914,15.5023519814125
"3","Rare","Present",1300.14992691948,13.4490393110439,28.8453204796102
