ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,4.931369000747509,,,,,,,,,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
180,270,180,12,180,180,180,180,12,180,j,present,resp,pract,0,0,0,35,,,,,,,0.885248154457815,696.3484025766957,None,696.3484025766957,None,None,0,,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,pract,0,1,1,24,,,,,,,0.8645916343416358,700.7147596582945,None,700.7147596582945,None,None,1,,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,pract,0,2,2,20,,,,,,,0.8664519831131294,704.5982935342108,None,704.5982935342108,None,f,1,2.087692000728566,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,pract,0,3,3,21,,,,,,,0.7807091137984754,707.7866947948496,None,707.7866947948496,None,None,1,,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
180,0,90,180,12,0,180,180,12,180,j,present,resp,pract,0,4,4,41,,,,,,,0.8114677929683874,711.9287941274961,None,711.9287941274961,None,None,0,,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,pract,0,5,5,29,,,,,,,0.8849806228547639,716.3303415195405,None,716.3303415195405,None,None,1,,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,pract,0,6,6,5,,,,,,,0.7683581645914627,720.3665928246555,None,720.3665928246555,None,f,0,1.1345810225029709,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,pract,0,7,7,26,,,,,,,0.959600785681832,725.6375358481891,None,725.6375358481891,None,None,1,,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,pract,0,8,8,2,,,,,,,0.7832909367069382,729.745038906658,None,729.745038906658,None,j,1,1.2272639625807642,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
90,0,180,180,180,168,0,168,0,0,f,present,resp,pract,0,9,9,44,,,,,,,0.7947974323093344,733.2624544624996,None,733.2624544624996,None,f,1,2.766028300728067,,,,,,,,,,,,008,001,1,28,m,2021_Nov_08_1735,eye_tracking_exp,2021.2.3,85.00880128353698,
