ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,text_7.started,text_7.stopped,response.rt,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,2.5391570634456,,,,,,,,,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
90,0,180,180,180,168,0,168,0,0,f,present,resp,pract,0,0,0,44,,,,,,,0.9815816041367367,424.664135874933,None,424.664135874933,None,f,1,1.9737450066240854,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,pract,0,1,1,21,,,,,,,0.711581978276673,427.5939345515726,None,427.5939345515726,None,None,1,,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,pract,0,2,2,1,,,,,,,0.9408003721036396,431.5482037194306,None,431.5482037194306,None,j,1,0.9137527761849924,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
90,0,0,12,0,12,180,180,180,0,j,present,resp,pract,0,3,3,32,,,,,,,0.9534636421936178,433.6896915086327,None,433.6896915086327,None,j,1,0.7712809634831501,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,180,90,180,12,180,12,0,0,180,j,present,resp,pract,0,4,4,39,,,,,,,0.987975486435984,435.771990887828,None,435.771990887828,None,j,1,0.8010129619578947,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,pract,0,5,5,16,,,,,,,1.0460341378862978,437.8898889773991,None,437.8898889773991,None,f,1,0.9710978022922063,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,270,0,0,168,0,0,168,180,0,f,present,resp,pract,0,6,6,45,,,,,,,0.8228230652793016,439.99650188700616,None,439.99650188700616,None,f,1,0.8644791575861746,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,pract,0,7,7,2,,,,,,,1.0483060146500163,442.2907179719259,None,442.2907179719259,None,j,1,0.8258791755069979,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,168,180,90,0,180,0,168,0,0,f,present,resp,pract,0,8,8,48,,,,,,,1.0281710432119278,444.33811651261203,None,444.33811651261203,None,f,1,1.2269668535154779,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,pract,0,9,9,0,,,,,,,0.8125519116406651,446.6799074172741,None,446.6799074172741,None,j,1,0.7094888152059866,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,pract,0,10,10,11,,,,,,,0.8900388915015708,448.53877671390364,None,448.53877671390364,None,f,1,0.76938022851391,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
90,0,180,168,180,180,0,168,0,0,f,present,resp,pract,0,11,11,46,,,,,,,0.7832954823333823,450.2918568433015,None,450.2918568433015,None,f,1,0.8245395754129277,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,270,0,0,0,0,0,168,0,168,f,present,resp,pract,0,12,12,43,,,,,,,0.8818475925700947,452.2702339832831,None,452.2702339832831,None,f,1,1.277990283240797,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
12,0,0,12,0,0,90,180,180,0,j,present,resp,pract,0,13,13,38,,,,,,,0.8178932500857353,454.64718622101645,None,454.64718622101645,None,j,1,1.7172924838014296,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,pract,0,14,14,6,,,,,,,0.9560022996836341,457.6947045952402,None,457.6947045952402,None,j,1,0.6216638120095013,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,pract,0,15,15,3,,,,,,,1.0603586868593944,459.9644562258982,None,459.9644562258982,None,j,1,0.7038177006033948,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,pract,0,16,16,18,,,,,,,0.8107205733387174,461.85943012965436,None,461.85943012965436,None,f,1,0.7612783343793126,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,pract,0,17,17,9,,,,,,,0.8926611602476262,463.8843262261289,None,463.8843262261289,None,j,1,0.6390568801944028,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
90,0,0,12,0,0,0,12,0,0,j,present,resp,pract,0,18,18,34,,,,,,,1.0174352783271534,465.83693281685555,None,465.83693281685555,None,j,1,0.6384486570823356,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,270,0,0,12,0,180,180,180,12,j,present,resp,pract,0,19,19,42,,,,,,,0.7191157902768344,467.66000176883244,None,467.66000176883244,None,j,1,0.7994219227330177,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,pract,0,20,20,25,,,,,,,0.9441457966502902,469.71924390773347,None,469.71924390773347,None,None,1,,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,pract,0,21,21,17,,,,,,,0.7640114191218144,473.4848416612658,None,473.4848416612658,None,f,1,0.7507184944406617,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,0,180,0,12,0,12,180,180,180,j,abs,resp,pract,0,22,22,7,,,,,,,0.8396572888598457,475.3439134976943,None,475.3439134976943,None,j,1,0.8916484690926154,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,pract,0,23,23,20,,,,,,,0.8298956696477174,477.1338842456389,None,477.1338842456389,None,j,0,1.0856592673881096,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,pract,0,24,24,26,,,,,,,0.7254946526028392,479.5217672941435,None,479.5217672941435,None,None,1,,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,270,180,12,180,180,180,180,12,180,j,present,resp,pract,0,25,25,35,,,,,,,0.7379827997144273,483.33342066793557,None,483.33342066793557,None,j,1,1.63723764410679,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,pract,0,26,26,27,,,,,,,0.8250643390599156,485.9810880341902,None,485.9810880341902,None,None,1,,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,270,180,12,180,0,12,180,0,180,j,present,resp,pract,0,27,27,33,,,,,,,1.0941889734935566,490.07701432780595,None,490.07701432780595,None,j,1,0.7977572326635709,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,pract,0,28,28,13,,,,,,,0.9815607825064803,492.1003740194865,None,492.1003740194865,None,f,1,0.8388927354171756,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,pract,0,29,29,31,,,,,,,0.8152299631237357,494.1252375164113,None,494.1252375164113,None,None,1,,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,180,0,0,180,0,180,168,0,168,f,abs,resp,pract,0,30,30,14,,,,,,,0.7016648683142944,497.99570380168734,None,497.99570380168734,None,f,1,1.1021727513798396,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,pract,0,31,31,10,,,,,,,0.7382000092114807,504.996979711912,None,504.996979711912,None,f,1,1.6850463958180626,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,pract,0,32,32,19,,,,,,,1.077524270035967,507.8085488702054,None,507.8085488702054,None,f,1,0.7620845695855678,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,pract,0,33,33,28,,,,,,,0.7467455542398649,509.5264453298005,None,509.5264453298005,None,None,1,,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,0,90,180,12,0,180,180,12,180,j,present,resp,pract,0,34,34,41,,,,,,,0.7790273609034648,513.4451082410815,None,513.4451082410815,None,j,1,0.8999821822508238,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
180,168,0,180,0,180,180,180,168,180,f,abs,resp,pract,0,35,35,12,,,,,,,0.7133574601598738,515.5392880439031,None,515.5392880439031,None,f,1,0.741905748975114,,,,,,,,,,,,009,001,1,28,m,2021_Nov_08_1913,eye_tracking_exp,2021.2.3,85.07450919575236,
