ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,text_7.started,text_7.stopped,response.rt,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
0,-168,0,0,0,180,0,-168,0,0,f,abs,resp,freq_bottom,,,,,0,614,614,331,,,0.7278267334242524,,,,,,,,,,3106.5949004642107,None,3106.5949004642107,None,f,1,None,None,0.7756678730174826,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
12,180,0,0,0,0,-168,0,90,0,None,present,inhibit,freq_bottom,,,,,0,615,615,982,,,1.0563564050449457,,,,,,,,,,3109.136560427344,None,3109.136560427344,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,12,180,180,180,0,-12,0,0,j,abs,resp,freq_bottom,,,,,0,616,616,172,,,0.902515820451774,,,,,,,,,,3113.056582860664,None,3113.056582860664,None,j,1,None,None,1.5292231106932377,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,0,180,180,180,180,12,180,-168,180,None,abs,inhibit,freq_bottom,,,,,0,617,617,425,,,1.0514954803560967,,,,,,,,,,3115.9632141226075,None,3115.9632141226075,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,-12,0,180,-12,0,0,180,90,0,j,present,resp,freq_bottom,,,,,0,618,618,617,,,0.8795436044850748,,,,,,,,,,3120.0733076380448,None,3120.0733076380448,None,j,1,None,None,1.121911333108983,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
168,0,180,-168,180,90,180,180,0,180,f,present,resp,freq_bottom,,,,,0,619,619,869,,,0.7690273203257332,,,,,,,,,,3122.0136293292117,None,3122.0136293292117,None,f,1,None,None,2.460384327851898,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
-168,0,0,0,0,0,270,0,168,0,f,present,resp,freq_bottom,,,,,0,620,620,854,,,0.904002055131355,,,,,,,,,,3125.8150138442443,None,3125.8150138442443,None,f,1,None,None,1.4588521489249615,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
168,180,180,180,180,180,168,180,270,180,f,present,resp,freq_bottom,,,,,0,621,621,733,,,0.7966169981221649,,,,,,,,,,3128.321625365349,None,3128.321625365349,None,f,1,None,None,0.7592742225651818,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,180,0,-168,0,-168,0,0,180,f,abs,resp,freq_bottom,,,,,0,622,622,342,,,0.7356278317134368,,,,,,,,,,3130.0039982746375,None,3130.0039982746375,None,f,1,None,None,0.7249318023068554,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,180,180,12,0,270,0,0,12,j,present,resp,freq_bottom,,,,,0,623,623,514,,,1.0541002496720007,,,,,,,,,,3132.168743731,None,3132.168743731,None,j,1,None,None,0.8003179636170898,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,180,0,12,0,0,0,0,168,None,abs,inhibit,freq_bottom,,,,,0,624,624,500,,,0.8006329646162508,,,,,,,,,,3133.9693953598153,None,3133.9693953598153,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
-168,0,0,0,0,-168,180,180,0,0,f,abs,resp,freq_bottom,,,,,0,625,625,346,,,0.8458434072310493,,,,,,,,,,3137.830046161568,None,3137.830046161568,None,f,1,None,None,0.7871764202873237,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
12,180,180,180,0,90,0,0,12,0,j,present,resp,freq_bottom,,,,,0,626,626,504,,,0.8445628222093324,,,,,,,,,,3139.7594669248874,None,3139.7594669248874,None,j,1,None,None,1.3536702992669234,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,-168,0,180,180,180,270,180,180,168,f,present,resp,freq_bottom,,,,,0,627,627,877,,,0.8250404226026382,,,,,,,,,,3142.0423643247404,None,3142.0423643247404,None,f,1,None,None,0.9907844662184289,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,180,0,180,12,180,90,180,12,j,present,resp,freq_bottom,,,,,0,628,628,517,,,1.0371855846145277,,,,,,,,,,3144.4781702233877,None,3144.4781702233877,None,j,1,None,None,0.8259578128245266,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,180,0,0,0,-168,0,12,180,None,abs,inhibit,freq_bottom,,,,,0,629,629,476,,,0.9444561613961452,,,,,,,,,,3181.1380304256445,None,3181.1380304256445,None,None,1,None,None,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,0,180,180,180,180,12,180,12,0,j,abs,resp,freq_bottom,,,,,0,630,630,5,,,0.8989576103137755,,,,,,,,,,3185.129895328272,None,3185.129895328272,None,j,1,None,None,1.7892235513909327,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,-168,0,180,180,180,168,180,0,180,f,abs,resp,freq_bottom,,,,,0,631,631,409,,,0.7763447252924887,,,,,,,,,,3187.729162925013,None,3187.729162925013,None,f,1,None,None,0.9815874686364623,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
90,0,168,180,180,180,0,180,180,-168,f,present,resp,freq_bottom,,,,,0,632,632,884,,,0.8940451063520369,,,,,,,,,,3189.694317626486,None,3189.694317626486,None,f,1,None,None,1.255538404501749,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,0,180,12,90,0,-12,180,180,j,present,resp,freq_bottom,,,,,0,633,633,691,,,0.8498027388620093,,,,,,,,,,3191.9658507622707,None,3191.9658507622707,None,j,1,None,None,1.5439632394436558,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
