ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,231.13643161484686,,,,,,,,,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
90,0,0,12,0,0,0,12,0,0,j,present,resp,pract,0,0,0,34,,,,,,,0.9947130160153161,457.96165915275964,None,457.96165915275964,None,None,0,,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,pract,0,1,1,3,,,,,,,0.7768265214393513,462.2347478152521,None,462.2347478152521,None,j,1,1.0912343778074955,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,pract,0,2,2,29,,,,,,,0.9059885596569904,464.5046541349025,None,464.5046541349025,None,None,1,,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,pract,0,3,3,1,,,,,,,0.978289404674833,468.8000865085325,None,468.8000865085325,None,j,1,1.0873167426235568,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,pract,0,4,4,5,,,,,,,0.795475257089303,471.20100586543543,None,471.20100586543543,None,j,1,1.4521132030782837,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,270,0,0,12,0,0,12,0,0,j,present,resp,pract,0,5,5,40,,,,,,,0.7701749280718991,473.96593024743976,None,473.96593024743976,None,j,1,1.2485975035606316,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
90,0,0,12,0,12,180,180,180,0,j,present,resp,pract,0,6,6,32,,,,,,,1.027685059533702,477.0374274668514,None,477.0374274668514,None,j,1,0.9115876079021064,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,pract,0,7,7,13,,,,,,,0.9670336883270008,479.50988630134674,None,479.50988630134674,None,f,1,1.4163908538133683,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
90,0,180,168,180,180,0,168,0,0,f,present,resp,pract,0,8,8,46,,,,,,,0.8522115075612957,482.0747939611852,None,482.0747939611852,None,f,1,1.8416768813269755,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,pract,0,9,9,28,,,,,,,0.8275195849384765,485.2503489318339,None,485.2503489318339,None,None,1,,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,pract,0,10,10,26,,,,,,,0.9157971086411802,489.39341430403186,None,489.39341430403186,None,None,1,,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,pract,0,11,11,22,,,,,,,0.860725505235475,493.7478560010239,None,493.7478560010239,None,None,1,,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,pract,0,12,12,6,,,,,,,1.0799965529976807,498.12670179730077,None,498.12670179730077,None,j,1,2.4773808784678977,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,180,0,0,180,0,180,168,0,168,f,abs,resp,pract,0,13,13,14,,,,,,,0.8339701724176687,501.8671251880489,None,501.8671251880489,None,f,1,1.328749500199251,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,180,90,180,12,180,12,0,0,180,j,present,resp,pract,0,14,14,39,,,,,,,0.9865843567310051,504.6563667382239,None,504.6563667382239,None,j,1,1.4187253164461708,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,pract,0,15,15,8,,,,,,,1.087912630820311,507.5288303418566,None,507.5288303418566,None,j,1,1.7143276283309206,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
90,0,0,12,0,180,180,180,0,12,j,present,resp,pract,0,16,16,36,,,,,,,0.7473935859818436,510.26898660053456,None,510.26898660053456,None,j,1,1.261866572262761,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,pract,0,17,17,4,,,,,,,1.0156870130496922,513.2116437587081,None,513.2116437587081,None,j,1,0.7834665394220224,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,pract,0,18,18,18,,,,,,,1.086905194340735,515.6352636065305,None,515.6352636065305,None,f,1,0.9838819977059643,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,270,0,0,168,0,0,168,180,0,f,present,resp,pract,0,19,19,45,,,,,,,1.0912766784096506,518.1176630743189,None,518.1176630743189,None,f,1,0.9805360553365858,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
168,0,270,180,180,180,180,168,180,180,f,present,resp,pract,0,20,20,49,,,,,,,0.8162489855571815,520.4827653028944,None,520.4827653028944,None,f,1,1.7834227720207423,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,270,0,0,12,0,180,180,180,12,j,present,resp,pract,0,21,21,42,,,,,,,1.0634375288980882,523.61353837405,None,523.61353837405,None,j,1,0.972618381516611,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,pract,0,22,22,11,,,,,,,1.0425046263259163,525.967302430932,None,525.967302430932,None,f,1,2.7789289163602575,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,pract,0,23,23,20,,,,,,,0.9622834747031941,529.9679559235103,None,529.9679559235103,None,f,1,0.8742353002432424,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,pract,0,24,24,17,,,,,,,0.8401291363504236,531.9816065232142,None,531.9816065232142,None,f,1,0.9887646286278482,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,pract,0,25,25,21,,,,,,,0.7291845437402105,534.3100983770444,None,534.3100983770444,None,None,1,,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,pract,0,26,26,25,,,,,,,0.9679571841943471,538.9111980556406,None,538.9111980556406,None,None,1,,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
12,0,0,12,0,0,90,180,180,0,j,present,resp,pract,0,27,27,38,,,,,,,0.8794808688238289,543.406500757025,None,543.406500757025,None,j,1,1.6427392519867112,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,270,0,0,0,0,0,168,0,168,f,present,resp,pract,0,28,28,43,,,,,,,1.0836137710180758,546.738593611529,None,546.738593611529,None,f,1,1.5746652470461981,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
90,0,180,180,180,168,0,168,0,0,f,present,resp,pract,0,29,29,44,,,,,,,1.0724027136182523,549.9722970460325,None,549.9722970460325,None,f,1,1.9399171903187948,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
180,270,180,12,180,0,12,180,0,180,j,present,resp,pract,0,30,30,33,,,,,,,0.7603578396314004,553.2793646059968,None,553.2793646059968,None,j,1,1.0489076786059854,,,,,,,,,,,,012,001,1,26,M,2021_Nov_10_1011,eye_tracking_exp,2021.2.3,85.01765551221452,
