ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,90.5216406476327,,,,,,,,,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,0,180,0,12,0,12,180,180,180,j,abs,resp,pract,0,0,0,7,,,,,,,0.9646338811518056,285.2178941957404,None,285.2178941957404,None,j,1,2.5930149511568743,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,pract,0,1,1,4,,,,,,,1.0789712804152383,288.9382507140963,None,288.9382507140963,None,j,1,1.1287019519950263,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,pract,0,2,2,22,,,,,,,0.8127667392355922,292.10227626369306,None,292.10227626369306,None,None,1,,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,pract,0,3,3,24,,,,,,,0.8115836408029725,296.2447353987966,None,296.2447353987966,None,None,1,,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
90,0,180,168,180,180,0,168,0,0,f,present,resp,pract,0,4,4,46,,,,,,,0.979583646953816,300.2359495177832,None,300.2359495177832,None,f,1,1.4631793887285767,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,pract,0,5,5,31,,,,,,,1.0884614072597505,302.95305694749277,None,302.95305694749277,None,None,1,,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,270,180,12,180,0,12,180,0,180,j,present,resp,pract,0,6,6,33,,,,,,,0.8710662146622793,306.8372295331412,None,306.8372295331412,None,j,1,1.0689439553702869,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,270,180,12,180,180,180,180,12,180,j,present,resp,pract,0,7,7,35,,,,,,,1.0917141495697182,309.24913452718124,None,309.24913452718124,None,j,1,1.8733879986925785,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,pract,0,8,8,29,,,,,,,0.7181506148936442,312.191781351185,None,312.191781351185,None,None,1,,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,270,0,0,12,0,180,180,180,12,j,present,resp,pract,0,9,9,42,,,,,,,0.8876742265310887,316.0979673877707,None,316.0979673877707,None,j,1,1.1365158834134945,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,pract,0,10,10,11,,,,,,,0.9133138590125875,318.4043754031554,None,318.4043754031554,None,f,1,1.693155340522253,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
90,0,0,12,0,12,180,180,180,0,j,present,resp,pract,0,11,11,32,,,,,,,0.7818114242655299,321.2169497142861,None,321.2169497142861,None,j,1,1.1205040703018767,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,pract,0,12,12,6,,,,,,,0.8144186931011331,323.44112505882254,None,323.44112505882254,None,j,1,0.9771722934963236,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,0,180,0,0,0,168,0,180,168,f,abs,resp,pract,0,13,13,15,,,,,,,1.064617203155632,325.5594725996241,None,325.5594725996241,None,f,1,1.4979133054530394,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,pract,0,14,14,2,,,,,,,0.8817593188215248,327.9951423649586,None,327.9951423649586,None,j,1,0.9823855051288319,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,pract,0,15,15,30,,,,,,,0.845940974646333,330.0425466407521,None,330.0425466407521,None,None,1,,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,168,180,90,0,180,0,168,0,0,f,present,resp,pract,0,16,16,48,,,,,,,1.0662564182274756,334.12622455838937,None,334.12622455838937,None,f,1,1.7943935499738473,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,pract,0,17,17,26,,,,,,,0.7446021468984407,336.7274236785636,None,336.7274236785636,None,None,1,,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,180,90,180,12,180,12,0,0,180,j,present,resp,pract,0,18,18,39,,,,,,,0.8190657056053549,340.55164508505914,None,340.55164508505914,None,j,1,1.0651077729467033,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,pract,0,19,19,20,,,,,,,0.8541337745106656,342.51717407768183,None,342.51717407768183,None,f,1,1.019061208109406,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,180,168,0,270,0,0,168,0,180,f,present,resp,pract,0,20,20,47,,,,,,,0.7414514100517151,344.32813320176797,None,344.32813320176797,None,f,1,1.4166390010534542,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,pract,0,21,21,8,,,,,,,0.7408795120591053,346.5518986371276,None,346.5518986371276,None,j,1,1.0968878080759623,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,pract,0,22,22,28,,,,,,,0.765344880599901,348.55360860434985,None,348.55360860434985,None,None,1,,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,pract,0,23,23,9,,,,,,,0.8693140235127741,352.424631798629,None,352.424631798629,None,j,1,0.9032543194016398,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
180,12,180,12,180,90,180,180,0,180,j,present,resp,pract,0,24,24,37,,,,,,,0.8979872777942143,354.5427514444168,None,354.5427514444168,None,j,1,1.2810734637298538,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,pract,0,25,25,17,,,,,,,0.9189056019690215,357.26124495876616,None,357.26124495876616,None,f,1,1.4267119606611232,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,270,0,0,12,0,0,12,0,0,j,present,resp,pract,0,26,26,40,,,,,,,0.9674753037132877,359.72096806179684,None,359.72096806179684,None,j,1,1.0470002312520137,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,pract,0,27,27,16,,,,,,,0.9362885868354474,361.8626746905836,None,361.8626746905836,None,f,1,0.9373371506364947,,,,,,,,,,,,001,001,2,32,m,2021_Nov_08_0830,eye_tracking_exp,2021.2.3,84.66273456539263,
